Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=393,Lancaster County,SC,,,No mentions of moratoria,GOOD,"- **Recent Approvals**: Multiple solar farm projects have been approved in Lancaster County, including a 1,600-acre project in 2024 and a 2,400-acre project in 2023, showing strong support for renewable energy. - **Regulatory Framework**: The county has established clear regulations for solar farms in their Unified Development Ordinance, demonstrating a structured approach to renewable energy development. - **Existing Infrastructure**: The presence of operational solar facilities like Crown Solar Center and successful integration into multi-county industrial parks shows a track record of supporting energy development.","null (1/18/2025): Solar panel installation costs and benefits analysis for Lancaster area, with typical systems costing $12,500 after discounts and adding approximately $110 in home value; Link: https://www.homeyou.com/sc/solar-panel-installation-lancaster-costs; null (12/17/2024): Planning Commission unanimously approves large 1,600-acre solar farm project to be located east of Hallam; Link: https://www.wistv.com/video/2024/12/18/planning-commission-approves-proposed-solar-farm-lancaster-county/; null (12/17/2024): Lincoln-Lancaster City Planning Commission gives unanimous approval for 1,600-acre solar facility east of Hallam; Link: https://www.wistv.com/video/2024/12/18/planning-commission-approves-proposed-solar-farm-lancaster-county"
https://app.sparkhq.ai/reports?location=420,Pickens County,SC,,,No mentions of moratoria,GOOD,"- **Active Development**: Blue Ridge Electric Cooperative is developing a 250,000-kilowatt community solar farm, showing significant investment in renewable energy. - **Regulatory Progress**: County is actively working on comprehensive solar ordinances with public input, demonstrating commitment to enabling solar development. - **Community Support**: 70% of co-op members are open to participating in solar programs, and local residents have expressed support for solar ordinances.",
https://app.sparkhq.ai/reports?location=422,Calhoun County,SC,,,Mentions moratoria,MIXED,"- County recently ended a solar moratorium and implemented stricter regulations, showing cautious approach to development. - Multiple large solar projects have been approved and are operating successfully, demonstrating openness to renewable energy. - Community shows mixed reactions with some vocal opposition regarding environmental impacts and property values.",
https://app.sparkhq.ai/reports?location=550,Georgetown County,SC,,,Mentions moratoria,MIXED,"- **Strong support from officials**: County has approved multiple large solar projects and reduced fire impact fees, showing institutional support for renewable energy development. - **Significant community opposition**: Local residents consistently voice concerns about environmental impacts, property values, and land use changes, particularly in Lamberttown and Plantersville areas. - **Active development but delayed projects**: While multiple solar projects are under development, several face delays and implementation challenges, suggesting mixed success in project execution.","Abei Energy (3/29/2025): Plans for a new 100MW battery energy storage system near Stenton that could power around 150,000 homes during peak hours. The project is planned for a 40-year installation period.; Link: https://www.eastlothiancourier.com/news/25034834.plans-battery-energy-storage-system-near-stenton; Ingka Group (3/12/2025): Approval received for a 249-megawatt solar farm in Williamsburg County, spanning approximately 4,700 acres. The project is backed by Ikea's parent company.; Link: https://www.postandcourier.com/business/industry/ingka-group-ikea-solar-power-santee-cooper-williamsburg-county/article_b6dd80c2-fde8-11ef-859f-1fd4f9c604bc.html; Silicon Ranch (11/12/2024): Georgetown County Council approved a 1,000-acre expansion for the Lambert Solar Farm, contributing to over 2,000 megawatts capacity. Project expected to create 200+ jobs and generate $3.5M in tax revenue.; Link: https://www.live5news.com/2024/11/13/georgetown-solar-farm-expands-both-size-revenue/"
https://app.sparkhq.ai/reports?location=601,Anderson County,SC,,,No mentions of moratoria,GOOD,"- **Strong track record of approvals**: Multiple large solar projects have been approved, including a $68M Cypress Creek facility, $30M Southern Current projects, and Duke Energy's battery storage initiatives. - **Supportive local government**: County council has consistently approved tax incentives and land use permits for renewable energy projects, showing clear support for development. - **Existing infrastructure**: The county already hosts numerous operational solar facilities and is actively expanding with new projects, earning a reputation as a 'solar hotspot' in the region.",Sundance Power Systems (8/18/2024): McKay Residence Solar Installation - A 10.9 kW solar system installed on a new home in Asheville; Link: https://www.sundancepower.com/solar-projects; Sundance Power Systems (8/18/2024): GNT North America Solar Project - Commercial solar system with 574 panels for GNT's warehouse; Link: https://www.sundancepower.com/solar-projects; Sundance Power Systems (8/18/2024): YMCA Solar Power Addition - Solar system generating 84 megawatt hours annually at Reuter Family YMCA; Link: https://www.sundancepower.com/solar-projects
https://app.sparkhq.ai/reports?location=635,Greenville County,SC,,,No mentions of moratoria,GOOD,"- **Recent Major Approvals**: County approved multiple large renewable projects in 2024-2025, including a $50M solar farm and $500M battery factory. - **Supportive Regulations**: Has established solar guidelines, permitting processes, and offers tax incentives to attract renewable energy projects. - **Positive Evolution**: Despite some historical hesitation, recent council actions show strong support for renewable energy development with multiple project approvals.","Bolt Solar LLC (3/13/2025): Major $50 million solar farm project approved in Greenville County, set to generate 44 megawatts of electricity to power 7,000 homes. The project will occupy 400 acres and operate under a 40-year lease, with construction beginning in May 2025.; Link: https://www.heregreenville.com/greenville-county-solar-farm-2/; Bolt Solar LLC (2/24/2025): New $50 million solar farm investment approved for Dunklin Bridge Road in Greenville County, expected to generate $200,000 annually in revenue while contributing to clean energy initiatives.; Link: https://www.yahoo.com/news/50-million-clean-energy-project-112519325.html; Sundance Power Systems (8/18/2024): Multiple solar installations completed including a commercial project for GNT North America featuring 574 solar panels and a significant installation at the Reuter Family YMCA generating 84 megawatt hours annually.; Link: https://www.sundancepower.com/solar-projects"
https://app.sparkhq.ai/reports?location=1421,Darlington County,SC,,,Mentions moratoria,GOOD,"- **Strong Project Pipeline**: Multiple solar projects are actively being developed, including Duke Energy's 76MW Robinson Solar Center and several other large-scale installations totaling hundreds of megawatts. - **Supportive Regulatory Framework**: County has established clear solar ordinances and regularly updates them to facilitate development while addressing community concerns. - **Economic Incentives**: County actively provides tax incentives (FILOT agreements) and has approved multiple solar projects with significant investments, including a $340 million Southern Current project.","Aura Power (2/13/2025): Secured £33.1 million funding for a 40MW Burtree Lane solar PV plant in Darlington, featuring 46% biodiversity net gain and £20,000 annual community benefits fund; Link: https://www.solarpowerportal.co.uk/aura-power-lands-33-1-million-finance-for-40mw-solar-project; Rollins Solar, LLC (1/28/2025): Developing a 74.9 MW solar facility in Darlington County, South Carolina, with planned interconnection to Duke Energy Progress transmission system, expected to be operational by early 2028; Link: https://dms.psc.sc.gov/Attachments/Matter/8e8fc09e-1516-4f63-9541-a780dd519876; Culpepper Solar, LLC (1/28/2025): Planning a 74.9 MWac solar photovoltaic facility in Darlington County, South Carolina, with Duke Energy interconnection, targeting late 2027 operation; Link: https://dms.psc.sc.gov/Attachments/Matter/3e463fb1-c441-4abf-9557-655f0b577ea0"
https://app.sparkhq.ai/reports?location=2541,Chester County,SC,,,No mentions of moratoria,GOOD,"- **Multiple Approved Projects**: Chester County has consistently approved several solar projects including Rutabaga Solar, Fort Lawn PV1, and Chester PV1, demonstrating strong support for renewable energy. - **Supportive Regulations**: The county has specific solar farm regulations in their zoning ordinance and has made amendments to facilitate solar development since 2015. - **Economic Benefits Recognized**: The county actively promotes solar development through tax incentives and recognizes the economic benefits, with projects bringing millions in tax revenue.",
https://app.sparkhq.ai/reports?location=3033,Richland County,SC,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: Richland County has approved several major solar projects, including the $80M Eastover Solar farm and an 8.7MW school district installation across 15 schools. - **Strong regulatory framework**: The county has established clear zoning regulations and permitting processes for solar installations, showing institutional support for energy development. - **Broad support**: Local officials, including county council members and state representatives, have consistently expressed strong support for renewable energy projects.",
https://app.sparkhq.ai/reports?location=3129,Allendale County,SC,,,No mentions of moratoria,GOOD,"- **Multiple successful solar projects**: County has approved and completed several large-scale solar projects including the 103MW Lily Solar and Cypress Creek's 8MW facility. - **Strong investment history**: Multiple companies have made significant investments in solar projects, including NARENCO's $85M and Cypress Creek's $8M investments. - **Supportive local government**: Local officials consistently express support for renewable energy projects, with streamlined permitting processes and active encouragement of solar development.",
