Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=87,Burlington County,NJ,,,Mentions moratoria,GOOD,"- Multiple townships have approved or are actively developing solar projects, including large-scale installations on landfills and brownfields. - Several municipalities have updated zoning codes and ordinances to explicitly allow and regulate solar energy development. - Strong support from state-level programs and utilities like PSE&G, with numerous successful solar farm implementations across multiple townships.","Perch Energy (1/6/2025): BEMS West solar project with 5,000 kW capacity, generating power and producing an estimated annual carbon offset of 10 tons. The project includes pollinator-friendly features to support ecosystem health.; Link: https://communitysolar.energysage.com/projects/bems-west; Neighborhood Sun (12/19/2024): Tri-County Solar Farm on a closed landfill in Delanco, NJ, providing renewable energy to approximately 800 households with no subscription costs, particularly benefiting low- and moderate-income residents.; Link: https://neighborhoodsun.solar/solarfarms/tri-county/; NJR Clean Energy Ventures III Corporation (11/20/2024): 2.772 MW solar facility at Aero Haven Landfill, seeking SREC-II certification through the Competitive Solar Incentive Program while addressing environmental compliance requirements.; Link: https://www.nj.gov/bpu/pdf/boardorders/2024/20241121/8C%20ORDER%20Aero%20Haven%20Landfill.pdf"
https://app.sparkhq.ai/reports?location=309,Union County,NJ,,,Mentions moratoria,GOOD,"- **Strong regulatory support**: Multiple towns have adopted solar-friendly ordinances and are actively updating zoning codes to facilitate solar development. - **Successful project history**: Several large solar projects have been completed successfully, including the 4.5MW Linden Hawk Rise and 3.34MW Union County installations. - **Active development**: Ongoing approval of new solar projects and community solar initiatives, with supportive local government policies and no significant opposition.",
https://app.sparkhq.ai/reports?location=458,Salem County,NJ,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: Several large solar projects have been approved and developed, including Cedar Solar (10MW), Pilesgrove Solar (20MW), and ongoing Nichomus Run Solar (150MW). - **Supportive regulations**: Multiple townships have established solar ordinances and zoning codes specifically accommodating energy development. - **Innovative approaches**: Communities show flexibility by allowing dual-use projects combining solar with agriculture, demonstrating willingness to work with developers.","Standard Solar (9/30/2024): Standard Solar and Trinasolar are partnering to develop a 5.7 MW solar farm on a landfill in Pennsville, New Jersey. This project aims to utilize previously unusable land for renewable energy generation.; Link: https://standardsolar.com/news/standard-solar-and-trinasolar-partner-to-transform-landfill-into-5-7-mw-community-solar-farm-in-pennsville-new-jersey/"
https://app.sparkhq.ai/reports?location=478,Cape May County,NJ,,,No mentions of moratoria,BAD,"- **Strong local opposition**: Cape May County officials and residents have consistently voiced strong opposition to offshore wind projects, filing lawsuits and passing resolutions against them. - **Economic concerns**: Local stakeholders cite potential billion-dollar losses in tourism revenue and negative impacts on fishing industries as major concerns. - **Environmental worries**: Multiple lawsuits and public hearings highlight significant concerns about environmental damage, particularly to marine life and coastal ecosystems.",
https://app.sparkhq.ai/reports?location=539,Monmouth County,NJ,,,Mentions moratoria,GOOD,"- Multiple solar projects have been approved or are in development, including large-scale projects like the Howell Landfill solar farm (239 acres) and Port Belford Solar Farm (42 acres) - Strong regulatory framework supports solar development through zoning codes that explicitly permit solar facilities in multiple zones (ARE-3, ARE-4, ARE-6, SED-1, SED-2) - Active community solar programs and initiatives demonstrate institutional support, with projects like Extra Space Storage providing clean energy to over 1,400 households","Waretown Solar Project (3/31/2025): Solar Farm Project on 45-acre former landfill site in Waretown, featuring minimal environmental impact and wildlife protection measures under CAFRA regulations; Link: https://www.twpoceannj.gov/_Content/pdf/minutes/2025-04-01-EC-Minutes.pdf; Southern Ocean Waretown Solar Farm LLC (2/5/2025): 15 MW DC solar farm approved on 125-acre site with 26,080 solar panels, including environmental protections and safety features; Link: https://www.twpoceannj.gov/_Content/pdf/minutes/2025-02-06-PB-Minutes.pdf; Ormat Technologies (1/5/2025): Launch of 20 MW/20 MWh Montague Battery Storage System in New Jersey to enhance grid reliability; Link: https://www.energytech.com/energy-storage/article/55252941/ormat-technologies-starts-commercial-operations-on-20-mwh-battery-storage-systems-in-new-jersey"
https://app.sparkhq.ai/reports?location=565,Hunterdon County,NJ,,,No mentions of moratoria,GOOD,"- Multiple townships have adopted solar-friendly ordinances and regulations, including Kingwood, Clinton, Franklin, and Holland Townships, showing strong institutional support for renewable energy. - Several large solar projects have been successfully approved and completed, such as the 16MW CEP Renewables project and multiple community solar installations. - Recent amendments (2023-2024) show continued support for expanding solar access, like Franklin Township's changes to make ground-mounted solar a permitted use and Holland Township's consideration of solar carports.",
https://app.sparkhq.ai/reports?location=586,Warren County,NJ,,,No mentions of moratoria,MIXED,"- **Multiple successful projects**: Several large solar projects have been completed or are under construction, with strong support for brownfield development. - **Mixed community response**: While some projects receive support, others face significant opposition, particularly regarding agricultural land use and visual impacts. - **Regulatory complexity**: Townships have varying approaches, from solar-friendly ordinances to strict decommissioning requirements and moratoriums on certain types of development.","null (10/14/2024): The Foul Rift project in Warren County, completed by CEP Renewables, NJR Clean Energy Ventures, and CS Energy, has a capacity of 19 MW dc. The site, previously a composting facility with environmental issues, has been fully remediated and transformed into a clean energy source.; Link: https://www.roi-nj.com/2024/10/15/industry/energy-utilities/cep-renewables-njr-clean-energy-ventures-and-cs-energy-complete-solar-project-in-warren-county/; CEP Renewables, NJR Clean Energy Ventures, CS Energy (10/8/2024): Completion of a 19 MW solar project in White Township, New Jersey, converting a brownfield site into a clean energy source. The project provides clean energy, pollinator habitats, and increased tax revenue to the local community.; Link: https://www.solarpowerworldonline.com/2024/10/shuttered-new-jersey-compost-facility-hosts-solar-project/; CEP Renewables (8/28/2024): CEP Renewables begins construction of a 19 MW solar project on a previously contaminated brownfield site, demonstrating commitment to renewable energy while remediating environmental hazards.; Link: https://www.remediation-technology.com/articles/329-cep-renewables-begins-construction-on-19-mw-brownfield-solar-project-in-new-jersey"
https://app.sparkhq.ai/reports?location=1578,Middlesex County,NJ,,,Mentions moratoria,GOOD,"- **Strong policy support**: Multiple bills and regulations actively promote solar and battery storage development, including community solar programs and incentives for low-income participation. - **Numerous approved projects**: Multiple successful solar and battery projects have been completed or are in development, including New Jersey's largest rooftop solar installation and significant battery storage facilities. - **Local government backing**: Township officials and mayors consistently show support for renewable energy projects, with many municipalities actively working to facilitate solar and battery installations through updated zoning codes.",
https://app.sparkhq.ai/reports?location=2032,Mercer County,NJ,,,Mentions moratoria,GOOD,"- **Strong regulatory support**: Multiple towns have updated zoning codes to accommodate solar, with state-level programs actively promoting renewable energy development. - **Successful project track record**: Several large solar projects have been completed successfully, including installations at Mercer County Community College, Princeton University, and Robbinsville Schools. - **Active development pipeline**: Ongoing development of new projects and community solar initiatives, with significant investment in infrastructure and clear permitting processes.",
https://app.sparkhq.ai/reports?location=2036,Ocean County,NJ,,,Mentions moratoria,GOOD,"- Multiple successful solar projects have been approved and completed, including large installations at Six Flags, Berkeley Township, and Toms River landfills - Strong state and local government support for renewable energy, with Gov. Murphy announcing major solar investments and initiatives - Clear zoning regulations exist for solar installations, with many townships having specific solar ordinances and actively working to update codes to accommodate energy projects","Block Plant Solar, LLC (7/9/2025): Proposed 3.0 MW community solar project on a 20.07-acre former resource extraction site, requiring zoning variances and environmental compliance measures; Link: https://www.staffordnj.gov/DocumentCenter/View/7915; Berkeley Eagles Solar I, LLC and Berkeley Eagles Solar II, LLC (5/20/2025): Request to expand subscriber area to entire JCP&L territory due to enrollment challenges in current geographic limitations; Link: https://nj.gov/bpu/pdf/boardorders/2025/20250521/8H%20ORDER%20Berkeley%20Eagles%20Solar.pdf; null (9/24/2024): Completion of two 5-megawatt solar projects by CS Energy and Luminace on a capped landfill in Berkeley, projected to save $6.4 million; Link: https://njbiz.com/landfill-capped-community-solar-projects-completed-in-berkeley/"
https://app.sparkhq.ai/reports?location=2042,Atlantic County,NJ,,,Mentions moratoria,MIXED,"- **Strong support for solar**: Multiple towns have adopted ordinances supporting solar installations, including Egg Harbor Township's detailed regulations and Atlantic City's commitment to solar projects. - **Significant opposition to wind**: Recent strong opposition to offshore wind projects, including moratoriums and legal challenges from local communities and officials. - **Active development despite challenges**: While there are approved renewable projects and ongoing installations, there's substantial community division and regulatory hurdles, particularly for wind energy.",
https://app.sparkhq.ai/reports?location=2043,Essex County,NJ,,,Mentions moratoria,GOOD,"- **Strong regulatory framework**: Multiple townships have established solar-friendly zoning laws and ordinances, with solar panels classified as permitted accessory uses. - **Successful project track record**: Numerous solar projects have been approved and implemented, including large-scale installations like the 49.9 MW solar farm and 16,510 floating solar panels. - **Active government support**: State and local authorities actively promote renewable energy through legislation, mandates, and community solar programs.",
https://app.sparkhq.ai/reports?location=2052,Cumberland County,NJ,,,No mentions of moratoria,GOOD,"- **Consistent Project Approvals**: Multiple large-scale solar projects have been approved and developed, including the 50MW Nabb Solar I and 60MW Buckshutem Solar I projects. - **Supportive Government**: Local planning boards and officials actively support solar development through updated zoning codes and positive resolutions. - **No Opposition**: No evidence of moratoriums or significant community opposition, with most concerns being addressed through proper planning and environmental considerations.",
https://app.sparkhq.ai/reports?location=2056,Gloucester County,NJ,,,No mentions of moratoria,MIXED,"- **Multiple approvals and initiatives**: Several solar projects have been approved, including the Kinsley Landfill Solar Farm, Solvay Solar, and various community solar projects, showing support for renewable energy. - **Recent project denials**: Multiple solar project applications were denied in recent years, including those from Herskowitz LLC and Carter Airstrip Solar, indicating increased scrutiny. - **Strong regulatory framework**: The county has established comprehensive zoning regulations for solar installations, but with strict requirements and limitations that can make approval challenging.",
https://app.sparkhq.ai/reports?location=2059,Sussex County,NJ,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: The area has approved several solar projects including Sparta High School, Middle School, Braen Quarry, and Crystal Springs Resort, showing consistent support for renewable energy. - **Supportive regulations**: Multiple townships have passed ordinances specifically allowing and regulating solar installations, including Lafayette, Wantage, and Fredon Townships. - **Active development**: Ongoing development of new projects like the Hamm's Landfill Solar Farm and community solar initiatives demonstrates continued commitment to renewable energy growth.","Ormat Technologies (1/5/2025): Launch of Montague Battery Storage System - A new 20 MW/20 MWh battery energy storage system in New Jersey to enhance grid reliability and renewable energy integration; Link: https://www.energytech.com/energy-storage/article/55252941/ormat-technologies-starts-commercial-operations-on-20-mwh-battery-storage-systems-in-new-jersey; Ormat Technologies (1/1/2025): Expansion of Energy Storage Capacity - The Montague project brings Ormat's total storage capacity in the PJM market to 120MW/120MWh, with 30% investment tax credit eligibility; Link: https://www.energy-storage.news/ormat-technologies-commences-20mw-20mwh-new-jersey-bess/; Chaberton (12/31/2024): Project Fuji - First floating solar installation featuring 4 MW community solar component, set to begin commercial operations in 2025; Link: https://www.chaberton.com/portfolio/project-fuji"
https://app.sparkhq.ai/reports?location=2549,Morris County,NJ,,,Mentions moratoria,GOOD,"- **Strong institutional support**: Multiple successful large-scale solar projects completed, including North America's largest landfill solar project in Mount Olive. - **Favorable regulations**: Many towns have adopted or are updating solar ordinances to facilitate renewable energy development. - **Active development**: Numerous community solar projects being approved and implemented, with strong support from local officials and continued investment in solar infrastructure.",
https://app.sparkhq.ai/reports?location=3799,Bergen County,NJ,,,No mentions of moratoria,GOOD,"- **Strong regulatory support**: Multiple municipalities (Westwood, Teterboro, Washington Township) have passed ordinances specifically allowing and regulating solar installations, showing proactive support for renewable energy. - **Active development**: Several large-scale solar projects are being developed on brownfields and landfills, including KDC Solar's multiple projects in Bergen County, demonstrating successful implementation. - **Utility backing**: PSE&G is actively supporting solar development with significant investments ($883 million) and efficient processing of interconnection requests, indicating strong institutional support.",
https://app.sparkhq.ai/reports?location=4832,Hudson County,NJ,,,Mentions moratoria,GOOD,"- **Strong Policy Support**: Multiple municipalities in Hudson County have adopted favorable zoning regulations and ordinances specifically supporting solar, battery storage, and renewable energy development. - **Active Development**: There are numerous ongoing and planned energy projects including solar installations, battery storage facilities (Bayonne Energy Center III), and community solar initiatives. - **Financial Commitment**: Significant investments are being made in energy projects, such as Jersey City's $122M Energy Savings Improvement Program and multiple municipal solar installations, showing strong institutional support.",
