Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=69,Columbia County,FL,,,No mentions of moratoria,GOOD,"- **Strong regulatory support**: Columbia County has approved multiple solar projects and amended land development regulations in 2015 to specifically allow solar power generation plants. - **Successful track record**: The county has multiple operational solar facilities including the Sunshine Gateway Solar Energy Center and Columbia Solar Power Plant, demonstrating a history of completed projects. - **Ongoing development**: Multiple new solar and battery storage projects are being developed or approved, showing continued support for renewable energy infrastructure.",
https://app.sparkhq.ai/reports?location=435,Putnam County,FL,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: The area has several large-scale solar projects approved and under construction, including Rice Creek Solar, Etonia Creek, and Coral Farms Solar Energy Center. - **Supportive regulations**: The Town of Interlachen has updated its comprehensive plan to include solar facilities as an approved agricultural use. - **Strong institutional backing**: The Florida Municipal Power Agency actively supports solar development with multiple successful project financings and partnerships.","Origis Energy (3/23/2025): Second phase of Florida Municipal Solar Project adding 149 megawatts of solar energy, providing electricity to about 75,000 homes through collaboration among twelve municipal utilities.; Link: https://floridapolitics.com/archives/313476-florida-municipal-utilities-announce-second-solar-power-project; Origis Energy (1/7/2025): Rice Creek Solar Energy Center becomes operational, generating 75 megawatts of clean energy for 12 Florida cities, with 213,000 solar panels powering approximately 14,000 homes.; Link: https://electrek.co/2025/01/08/florida-solar-farm-is-supplying-clean-energy-to-12-cities/; Florida Municipal Power Agency (11/30/2024): Rice Creek Solar Project announced to generate 75 MWac of solar power for 12 Florida municipal utilities, avoiding 72,000 metric tons of CO2 emissions.; Link: https://origisenergy.com/project/rice-creek/"
https://app.sparkhq.ai/reports?location=572,Okaloosa County,FL,,,No mentions of moratoria,GOOD,"- **Strong institutional support**: Multiple large-scale solar projects have been successfully completed, including military installations and FPL's new Canoe Solar Energy Center, showing consistent approval for solar development. - **Clear regulatory framework**: Fort Walton Beach and Okaloosa County have established specific zoning regulations for solar facilities, demonstrating proactive support for solar development. - **Positive track record**: The area has a history of approving significant solar projects, including the Gulf Coast Solar Center portfolio and multiple utility-scale installations, with no evidence of strong public opposition.",
https://app.sparkhq.ai/reports?location=597,Hillsborough County,FL,,,Mentions moratoria,GOOD,"- **Strong utility support**: Tampa Electric (TECO) has consistently invested in and expanded solar projects, with plans for over 1,250MW of solar capacity and multiple approved projects. - **Regulatory backing**: The Florida Public Service Commission has repeatedly approved solar projects and cost recovery plans, showing strong regulatory support. - **Local government support**: Hillsborough County has established solar-friendly zoning codes, comprehensive plans supporting renewable energy, and clear permitting processes for solar installations.",
https://app.sparkhq.ai/reports?location=884,Duval County,FL,,,No mentions of moratoria,GOOD,"- **Strong Utility Support**: JEA has consistently approved and implemented multiple solar projects, including a recent 2024 plan for three solar facilities totaling 200MW and a commitment to 35% clean energy by 2030. - **Regulatory Framework**: Jacksonville Beach has established clear permitting processes for solar and energy storage systems, demonstrating institutional support for renewable energy development. - **Historical Success**: The region has a proven track record of successful energy projects, including the 15MW Baldwin solar farm and multiple FPL solar installations, showing sustained commitment to renewable energy development.","Origis Energy (3/23/2025): Second phase of Florida Municipal Solar Project adding 149 megawatts of solar energy, set to provide electricity to about 75,000 homes through collaboration among twelve municipal utilities.; Link: https://floridapolitics.com/archives/313476-florida-municipal-utilities-announce-second-solar-power-project; Origis Energy (1/7/2025): Rice Creek Solar Energy Center completion, generating 75 MW of clean energy to power 14,000 homes across 12 Florida cities, part of larger Florida Municipal Solar Project targeting 525 MW total capacity.; Link: https://electrek.co/2025/01/08/florida-solar-farm-is-supplying-clean-energy-to-12-cities; FRP Caldwell Solar, LLC (11/3/2024): Permit application for 74.9 MW solar energy facility on 1,573.71 acres near Yellow Water Creek, including wetland impact mitigation plans.; Link: https://www.saj.usace.army.mil/Portals/44/docs/regulatory/Public%20Notices/2025%2001%20January/North%20Branch/Sue/20250122-SAJ-2024-05142-Duval-0221-KGM.pdf?ver=XPT_TT9V119iAMIxOOUOQg=="
https://app.sparkhq.ai/reports?location=1425,Lee County,FL,,,No mentions of moratoria,GOOD,"- **Strong solar presence**: Lee County has multiple successful solar projects, including the 75MW Babcock Ranch solar facility and Florida Gulf Coast University's 2MW installation. - **Supportive regulations**: Cape Coral and Lee County have explicit provisions for solar installations in their zoning codes, with streamlined processes for residential and commercial projects. - **Demonstrated commitment**: The area shows ongoing support through various initiatives like the Lee County Electric Cooperative's net metering program and multiple approved solar developments.",
https://app.sparkhq.ai/reports?location=1565,Palm Beach County,FL,,,Mentions moratoria,GOOD,"- **Strong institutional support**: Palm Beach County has permitted 887 solar installations and holds a SolSmart Gold designation, demonstrating commitment to removing barriers for solar energy adoption. - **Positive regulatory framework**: The county has implemented expedited permitting processes for solar installations and has clear policies supporting renewable energy development in zoning codes. - **Major utility investment**: FPL is actively expanding solar capacity in the region, including large-scale projects like the Sabal Palm Solar Energy Center and significant battery storage facilities.","Origis Energy (3/23/2025): Second phase of Florida Municipal Solar Project announced, adding 149 megawatts of solar energy to power approximately 75,000 homes through collaboration among twelve municipal utilities.; Link: https://floridapolitics.com/archives/313476-florida-municipal-utilities-announce-second-solar-power-project; Florida Power & Light Company (1/31/2025): Eight new solar energy centers planned throughout Florida, expected to save customers $39 million annually, prevent 500,000 tons of carbon emissions, and create 1,600 jobs.; Link: https://www.floridatrend.com/article/21715/fpl-announces-sites-selected-for-eight-new-solar-power-plants; Origis Energy (1/6/2025): Completion of Rice Creek Solar Energy Center providing 75 MWac of power to 12 Florida cities, powering 14,000 homes as part of larger initiative to expand solar capacity to 525 MWac.; Link: https://fmpa.com/fmpa-and-origis-energy-announce-completion-of-rice-creek-solar-energy-center/"
https://app.sparkhq.ai/reports?location=1705,Madison County,FL,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: Madison County has approved and is actively constructing several large-scale solar projects, including Duke Energy's 74.9 MW facilities and FPL's 74.5 MW facility. - **Supportive regulations**: The county passed Ordinance LDC 2691 specifically allowing solar facilities in Agricultural zones, demonstrating proactive policy support. - **Economic benefits emphasized**: Local officials highlight positive economic impacts including job creation (200-300 temporary jobs) and increased tax revenue, with no significant community opposition mentioned.",
https://app.sparkhq.ai/reports?location=1713,Osceola County,FL,,,Mentions moratoria,GOOD,"- **Strong utility support**: Multiple utilities including Duke Energy, KUA, and OUC are actively developing large-scale solar projects and expanding renewable capacity. - **Significant investments**: The region has attracted major solar developments including the Florida Municipal Solar Project (223.5MW) and multiple utility-scale solar farms. - **Supportive regulations**: The county has established solar contractor requirements and permitting processes, showing institutional support for solar development.","Florida Power & Light (12/17/2024): Major land acquisition of 40,000 acres in Osceola County for $212 million, potentially for developing the largest solar array in the U.S.; Link: https://www.floridatrend.com/article/38846/wednesdays-afternoon-update/; Florida Municipal Power Agency (11/30/2024): Rice Creek Solar Project to generate 75 MWac of solar power, serving 12 Florida municipal utilities and powering approximately 14,000 homes while avoiding 72,000 metric tons of CO2 emissions.; Link: https://origisenergy.com/project/rice-creek/; Deseret Ranch (9/30/2024): Planning fifth solar farm (Storey Bend South) covering 1,500 acres in Osceola County, contributing to a combined output of 372.5 megawatts capable of powering 75,000 homes.; Link: https://www.growthspotter.com/2024/10/01/deseret-ranch-to-add-a-fourth-solar-farm-to-osceola-property"
https://app.sparkhq.ai/reports?location=1715,Orange County,FL,,,No mentions of moratoria,GOOD,"- **Strong institutional support**: Multiple large-scale solar projects approved and implemented, including Disney's 50MW solar farm, OUC's solar farms, and Orange County's floating solar arrays. - **Clear renewable energy goals**: County and city governments have established ambitious targets, including Orlando's 100% renewable energy by 2050 goal and extensive solar initiatives. - **Favorable regulations**: County has streamlined solar permitting processes, allows solar as by-right accessory use, and actively promotes solar adoption through co-ops and community programs.","Origis Energy (1/6/2025): Completion of Rice Creek Solar Energy Center, providing 75 MWac of power to 12 Florida municipalities. The facility will serve approximately 14,000 homes and is part of the larger Florida Municipal Solar Project expansion.; Link: https://www.publicpower.org/periodical/article/fmpa-and-origis-energy-announce-completion-solar-energy-center; Deseret Ranch (9/30/2024): Plans announced for Storey Bend South, the fifth solar farm on Deseret Ranch property in Osceola County. The project will cover 1,500 acres and contribute to a total output of 372.5 megawatts, enough to power 75,000 homes.; Link: https://www.growthspotter.com/2024/10/01/deseret-ranch-to-add-a-fourth-solar-farm-to-osceola-property; Orange County (12/31/2024): Implementation of innovative solar projects including floating solar arrays at the Southern Regional Water Supply Facility and ground-mounted solar at the Northwest Water Reclamation Facility to enhance energy efficiency and sustainability.; Link: https://www.ocfl.net/SolarArrays"
https://app.sparkhq.ai/reports?location=1997,Liberty County,FL,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: Liberty County has approved and completed several solar projects, including the Bristol Solar facility and a planned 100MW solar farm by National Solar Power. - **Strong utility support**: Talquin Electric Cooperative has actively developed solar projects in the county, demonstrating institutional backing for renewable energy. - **Economic benefits**: The county has embraced solar development for its economic advantages, including job creation and local economic benefits totaling millions of dollars.",
https://app.sparkhq.ai/reports?location=2784,St. Johns County,FL,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: St. Johns County has approved and successfully implemented several solar projects, including the large Trailside Solar Energy Center and multiple smaller installations. - **Supportive regulations**: The county has established clear permitting processes and zoning regulations that accommodate solar installations, including specific solar permit fees and guidelines. - **Strong utility backing**: Florida Power & Light has significant investment in the area with plans for continued solar expansion, demonstrating institutional support for renewable energy development.",
https://app.sparkhq.ai/reports?location=3652,Brevard County,FL,,,No mentions of moratoria,GOOD,"- **Strong institutional support**: Multiple large-scale solar projects have been approved and developed by FPL across Brevard County, including facilities at Kennedy Space Center, Palm Bay, and Barefoot Bay. - **Favorable regulations**: The Florida Solar Rights Act prohibits local ordinances from preventing solar installations, and Brevard County offers streamlined permitting and fee reductions for solar projects. - **Community acceptance**: Local planning boards have consistently approved solar projects, with minimal opposition recorded and strong support for job creation and economic benefits.",
https://app.sparkhq.ai/reports?location=3824,Alachua County,FL,,,No mentions of moratoria,MIXED,"- **Strong institutional support** but significant community opposition, particularly in historically Black communities near Archer. - **Multiple successful projects completed**, but also several high-profile denials and a recent major contract termination. - **Active development of solar regulations** showing commitment to renewable energy, while implementing strict requirements to address community concerns.","Duke Energy Florida (2/25/2025): Micanopy battery facility becomes operational, providing backup power for 800 customers during storms and featuring innovative 'islanding' technology. Duke Energy plans to expand similar capabilities across Florida by 2026.; Link: https://news.duke-energy.com/releases/duke-energy-florida-announces-micanopy-battery-facility-now-capable-of-providing-backup-power-during-storms; Origis Energy (1/6/2025): Completion of Rice Creek Solar Energy Center, providing 75 MWac of solar power to 12 Florida municipalities, capable of powering 14,000 homes and part of larger Florida Municipal Solar Project expansion to 525 MWac.; Link: https://www.publicpower.org/periodical/article/fmpa-and-origis-energy-announce-completion-solar-energy-center; Florida Power & Light Company (1/31/2025): Eight new solar energy centers announced across Florida, expected to save customers $39 million annually, prevent 500,000 tons of carbon emissions, and create 1,600 jobs.; Link: https://www.floridatrend.com/article/21715/fpl-announces-sites-selected-for-eight-new-solar-power-plants"
https://app.sparkhq.ai/reports?location=3826,Santa Rosa County,FL,,,No mentions of moratoria,GOOD,"- **Strong regulatory framework**: Santa Rosa County has clear zoning codes and regulations that explicitly permit solar electrical generating facilities, showing proactive support for energy development. - **Proven track record**: Multiple large-scale solar projects have been successfully approved and completed, including the Blackwater River Solar Energy Center and several military installation projects. - **Active development**: Ongoing solar projects and partnerships between utilities and local government demonstrate continued commitment to energy development, with no evidence of significant local opposition.",
https://app.sparkhq.ai/reports?location=3926,Leon County,FL,,,No mentions of moratoria,GOOD,"- **Strong Policy Support**: Tallahassee has ambitious renewable energy goals, including a Clean Energy Plan targeting 100% renewable energy by 2050, and has consistently approved and expanded solar projects. - **Successful Implementation**: The city has already completed multiple large-scale solar projects, including two solar farms at the airport totaling 62MW, with plans for additional facilities up to 200MW by 2030. - **Community Support**: Over 2,000 customers signed up for the solar program, creating a waiting list, and public meetings showed broad support for expanding solar energy options.",
https://app.sparkhq.ai/reports?location=3945,Escambia County,FL,,,No mentions of moratoria,GOOD,"- **Strong project history**: Multiple large-scale solar projects have been successfully completed, including the Cotton Creek Solar Energy Center, Gulf Coast Solar Center, and military base installations. - **Supportive local government**: Escambia County has consistently approved solar farm developments, with the Development Review Committee recently approving the Sparkleberry Solar Energy Center. - **Utility company commitment**: Gulf Power/FPL demonstrates strong commitment to renewable energy through multiple projects and their '30 by 30' plan to install 30 million solar panels by 2030.",
https://app.sparkhq.ai/reports?location=3950,Broward County,FL,,,No mentions of moratoria,GOOD,"- **Strong regulatory support**: Multiple cities and counties have passed ordinances specifically allowing and streamlining solar installations, including Broward County, Sunrise, Fort Lauderdale, and others. - **Active programs and initiatives**: The region has implemented numerous programs like Go SOLAR! Broward Rooftop Challenge and received grants to promote solar adoption and reduce barriers. - **Legal protections**: Florida law prohibits HOAs from blocking solar installations, and local governments have actively opposed measures that would restrict solar rights (like Amendment 1).",
https://app.sparkhq.ai/reports?location=3957,Bay County,FL,,,Mentions moratoria,GOOD,"- **Multiple approved projects**: Bay County has approved and welcomed several large-scale solar projects from Duke Energy and other developers, including Sandy Creek, Bay Ranch, and Mule Creek solar facilities. - **Economic benefits welcomed**: Local authorities highlight the positive economic impacts including job creation, increased tax revenues, and community benefits from these solar developments. - **Supportive infrastructure**: The area has established permitting processes specifically for solar projects and shows continued support for renewable energy development through multiple approved projects over several years.",
https://app.sparkhq.ai/reports?location=4012,Marion County,FL,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: Marion County has approved several significant solar projects, including a $100M solar farm near Dunnellon and multiple residential installations. - **Supportive regulations**: The county is actively updating zoning codes to accommodate solar energy facilities in agricultural zones and has established clear permitting processes. - **Government backing**: Local officials have shown consistent support through unanimous approvals of solar projects and investment in solar infrastructure for public facilities like the county jail.","Origis Energy (3/23/2025): Second phase of Florida Municipal Solar Project announced, adding 149 megawatts of solar energy to power approximately 75,000 homes through collaboration among twelve municipal utilities.; Link: https://floridapolitics.com/archives/313476-florida-municipal-utilities-announce-second-solar-power-project; Origis Energy (1/7/2025): Rice Creek Solar Energy Center becomes operational, providing 75 MW of clean energy to 12 Florida cities, capable of powering 14,000 homes. This is the third of seven planned solar farms in the Florida Municipal Solar Project.; Link: https://electrek.co/2025/01/08/florida-solar-farm-is-supplying-clean-energy-to-12-cities; Florida Municipal Power Agency (11/30/2024): Rice Creek Solar Project announced to generate 75 MWac of solar power for 12 Florida municipal utilities, with potential to power 14,000 homes and avoid 72,000 metric tons of CO2 emissions.; Link: https://origisenergy.com/project/rice-creek/"
