Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=471,Rutland County,VT,,,Mentions moratoria,GOOD,"- Multiple successful solar projects have been approved and implemented, including the landmark Stafford Hill Solar Farm and numerous other utility-scale installations. - Strong institutional support from local authorities, with many towns actively updating zoning codes and creating solar ordinances to accommodate renewable energy. - Demonstrated community benefits from existing projects, including cost savings, job creation, and emergency power backup capabilities.","Windel Energy, Recurrent Energy (8/3/2024): The Mallard Pass solar farm project, covering over 2,000 acres across the Rutland and Lincolnshire border. The project will generate 350 megawatts of renewable energy, enough to power 92,000 homes.; Link: https://www.bbc.co.uk/news/articles/cd104v91r77o; Burlington Electric Department (2/6/2025): Energy storage system project seeking proposals for up to 5MW capacity with 4-hour discharge duration, preferring Lithium Ion technology for sustainable energy management.; Link: https://www.vermontbids.com/government-agencies/chittenden/burlington-electric-department-796739/13959106-energy-storage-system-request-for-proposal.html; Encore Renewable Energy (1/31/2025): Multiple energy storage projects including the 4.9 MW Nava Storage Project, 2 MW South Street Storage Development, and a Dairy Farm Solar Project in Maine.; Link: https://encorerenewableenergy.com/project-type/active"
https://app.sparkhq.ai/reports?location=473,Addison County,VT,,,No mentions of moratoria,MIXED,"- **Strong support for renewables**: Multiple towns have Enhanced Energy Plans targeting 90% renewable energy by 2050 and have approved several solar/storage projects. - **Growing opposition**: Recent large-scale projects face significant community pushback, particularly in Panton where residents voted 307-100 against a 50MW solar array. - **Balanced regulations**: Towns like Cornwall and New Haven have implemented solar siting ordinances that allow development while protecting aesthetics and agricultural land.","Vermont Real Estate Holdings 2 LLC (3/16/2025): A 20 MW solar project in Fair Haven with public hearing scheduled for March 19, 2025. This represents one of the larger-scale solar developments planned for the region.; Link: https://www.vce.org/events; Encore Renewable Energy (1/31/2025): Multiple significant projects including the 4.9 MW Nava Storage Project and South Street Storage Development, demonstrating a commitment to both solar and storage solutions.; Link: https://encorerenewableenergy.com/project-type/active; GMP VT Microgrid LLC (12/30/2024): The GMP Solar/Storage-Ferrisburgh Hybrid project has demonstrated successful performance, generating 1.2 GWh from September to December 2024 and ranking #3 among Vermont solar plants.; Link: https://www.gridinfo.com/plant/gmp-solar-storage-ferrisburgh-hybrid/62382"
https://app.sparkhq.ai/reports?location=2545,Windsor County,VT,,,No mentions of moratoria,GOOD,"- **Strong Policy Support**: Multiple towns have solar ordinances or are actively developing them, with clear processes for project approval. - **Successful Track Record**: Several solar and battery projects have been successfully completed or are in development across multiple towns. - **Community Engagement**: While some concerns exist about visual impacts, towns are actively working with developers to address these through proper siting and screening requirements.","Encore Renewable Energy (1/31/2025): Nava Storage Project - 4.9 MW energy storage facility with 19.8 MWh capacity to help manage power demand; Link: https://encorerenewableenergy.com/project-type/active; Encore Renewable Energy (1/31/2025): South Street Storage Development - 2 MW storage project co-located with solar array to enhance solar power reliability; Link: https://encorerenewableenergy.com/project-type/active; Encore Renewable Energy (1/31/2025): Dairy Farm Solar Project - Solar installation in Anson, Maine to provide renewable energy for hundreds of homes; Link: https://encorerenewableenergy.com/project-type/active"
https://app.sparkhq.ai/reports?location=3597,Orleans County,VT,,,Mentions moratoria,MIXED,"- **Mixed local response**: While some communities like Holland and Charleston show support for renewable projects, others like Newport City have shown strong opposition to wind projects. - **Project approvals with conditions**: Several solar and battery projects have been approved (like Kearsarge PV Orleans and EVLO's battery storage), but often with specific restrictions and careful oversight. - **Historical concerns**: Past incidents of unauthorized solar installations and discussions of moratoriums on wind projects indicate some hesitancy towards energy development.","Peter and Sandy Gebbie (10/8/2024): Maplehurst Farm received a $91,395 grant to install a 67.2 kW rooftop solar array, which will generate 77,315 kWh annually and offset 88% of the farm's energy usage, saving $15,000 per year.; Link: https://hardwickgazette.org/wp-content/uploads/2024/10/Hdwk-Gaz-1009.pdf; EVLO Energy Storage Inc. (8/19/2024): EVLO completed Vermont's first utility-scale Battery Energy Storage System (BESS) project - a 3 MW/12 MWh system that will help manage excess renewable energy and reduce peak demand in partnership with Vermont Electric Cooperative.; Link: https://evloenergy.com/news/first-bess-project-usa; EVLO Energy Storage Inc. (8/21/2024): EVLO launched a battery storage project in Vermont featuring 16 advanced energy storage units, with plans to expand similar projects across the U.S. to strengthen grid resilience and manage renewable energy variability.; Link: https://energynews.pro/en/evlo-inaugurates-battery-energy-storage-project-in-vermont-2/"
https://app.sparkhq.ai/reports?location=3905,Franklin County,VT,,,No mentions of moratoria,MIXED,"- **Mixed local response**: While some areas like Highgate show strong commitment to renewable energy (90% by 2050 goal), there is significant opposition to large wind projects and concerns about local control. - **Regulatory framework exists**: Vermont has established solar siting laws and permitting processes (Section 248), but these can be challenging for larger projects and face public scrutiny. - **Active development continues**: Despite opposition, multiple solar projects are being proposed and developed (like Saint Albans Solar and ER Danyow Road Solar), though they often face community concerns about aesthetics and environmental impacts.",
https://app.sparkhq.ai/reports?location=3911,Orange County,VT,,,No mentions of moratoria,MIXED,"- **Mixed local response**: While there's support for small-scale community solar projects (under 150kW), there's strong opposition to large utility-scale projects like the 20MW NextEra proposal. - **Supportive regulations**: Town regulations allow solar collectors without zoning permits and have guidelines for group net metering, showing institutional support for renewable energy. - **Active conflicts**: Recent discussions about the Norwich Solar Technologies project and community concerns about slope issues indicate ongoing tension between development and local preferences.",
https://app.sparkhq.ai/reports?location=4233,Washington County,VT,,,No mentions of moratoria,GOOD,"- **Active Project Development**: Multiple solar projects are being reviewed and approved, including the Berlin Dog River Solar project, ice rink solar canopy, and various other installations. - **Supportive Regulatory Framework**: The region has established processes for solar project approval, including preferred site letters and interconnection studies, showing institutional support. - **Community Engagement**: While some concerns are raised, there's generally constructive dialogue and problem-solving around solar projects, with developers actively working to address community feedback.","Encore Renewable Energy (1/31/2025): Nava Storage Project - A 4.9 MW energy storage facility with 19.8 MWh capacity, designed to manage power demand and enhance grid reliability.; Link: https://encorerenewableenergy.com/project-type/active; Encore Renewable Energy (1/27/2025): Battery storage facility proposal to be co-located with an approved solar array in Barre City, aiming to improve energy efficiency and generate additional property tax revenue.; Link: https://www.barrecity.org/client_media/files/agendas/FY25/FINAL%20BOARD%20PACKET%201-28-25.pdf; Peter and Sandy Gebbie (10/8/2024): Maplehurst Farm 67.2 kW solar array project awarded $91,395 grant, expected to generate 77,315 kWh and reduce farm energy consumption by 88%.; Link: https://hardwickgazette.org/wp-content/uploads/2024/10/Hdwk-Gaz-1009.pdf"
https://app.sparkhq.ai/reports?location=4584,Chittenden County,VT,,,No mentions of moratoria,GOOD,"- Multiple towns actively pursuing and approving solar projects, including Williston's support for GlobalFoundries' solar arrays and South Burlington's mandatory solar requirements for new buildings - Strong institutional support through comprehensive energy plans targeting 90% renewable energy by 2050, with specific policies to facilitate solar and battery storage development - Demonstrated track record of successful renewable energy projects, such as the South Burlington Solar Farm and multiple Green Mountain Power initiatives","Burlington Electric Department (2/6/2025): Major energy storage system project seeking proposals for up to 5MW capacity with 4-hour discharge duration, preferring Lithium Ion technology. This represents a significant investment in sustainable energy infrastructure.; Link: https://www.vermontbids.com/government-agencies/chittenden/burlington-electric-department-796739/13959106-energy-storage-system-request-for-proposal.html; Williston G Katie Lane Solar, LLC (1/28/2025): Proposed 2.375 MW AC solar array project on GlobalFoundries property, designed with environmental considerations and community engagement opportunities through Vermont's Section 248 process.; Link: https://www.town.williston.vt.us/vertical/sites/%7BF506B13C-605B-4878-8062-87E5927E49F0%7D/uploads/GlobalFoundries_Williston_G_Katie_Lane_Solar_45d_Notice_package_012925(1).pdf; South Burlington BESS 1 LLC (1/20/2025): 4.99-megawatt battery energy storage project planned for South Burlington, serving Green Mountain Power and ISO-NE market, with focus on safety standards and local economic benefits.; Link: https://www.southburlingtonvt.gov/AgendaCenter/ViewFile/Item/329?fileID=1423"
https://app.sparkhq.ai/reports?location=5648,Caledonia County,VT,,,Mentions moratoria,MIXED,"- **Recent approvals with conditions**: Burke and Barnet have approved solar projects but with specific conditions and requirements, showing cautious support. - **Strong local opposition**: Multiple sources indicate significant community pushback against wind projects, particularly in the Northeast Kingdom, with calls for moratoriums. - **Evolving regulatory framework**: The region is actively developing new energy plans and standards (Act 174) to give municipalities more control over renewable projects, indicating a desire to balance development with local interests.",
https://app.sparkhq.ai/reports?location=6157,Essex County,VT,,,No mentions of moratoria,MIXED,- **Supportive local initiatives**: Bloomfield shows strong commitment to renewable energy with significant solar installations and streamlined permitting processes. - **Limited local control**: The removal of local control provisions from energy project legislation indicates potential conflicts between state and local interests. - **Policy challenges**: The sale of renewable energy credits to out-of-state utilities and 0% local power derivation from wind/solar suggests implementation difficulties despite positive planning.,
