Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=81,Dakota County,MN,,,Mentions moratoria,GOOD,"- Multiple jurisdictions have approved or are actively considering solar projects, including large installations like the 45MW Pine Bend refinery project and numerous community solar gardens. - Several townships and cities have updated their zoning codes to explicitly allow and regulate solar installations, showing proactive support for renewable energy. - Strong institutional backing evidenced by Dakota County's comprehensive solar regulations and West St. Paul's recent amendments to accommodate solar carports.","Castle Rock Solar LLC (3/17/2025): A major 150 MW solar project proposed in Dakota County, spanning 1,307 acres. The project is currently in the site permit application phase and will undergo environmental assessment and public hearings.; Link: https://www.edockets.state.mn.us/documents/%7BE0B1AA95-0000-C713-9335-E0C6350D1C14%7D/download?contentSequence=0&rowIndex=1; Northern Crescent Solar LLC (9/23/2024): Large-scale solar project proposing a 150 MW solar energy system combined with a 50 MW battery storage system. The project demonstrates significant investment in renewable infrastructure with planned public engagement.; Link: https://www.eqb.state.mn.us/sites/eqb/files/September%2024%2C%202024.pdf; Mazaska Garden LLC (11/11/2024): 5-MW Solar Garden project in Waterford Township, covering 30.71 acres with over 10,000 solar panels. Features pollinator-friendly habitats and targets income-eligible households under the LMI CSG program.; Link: https://www.waterfordtownshipmn.org/vertical/sites/%7BC4859390-F08F-45A2-A8A1-065D5B642E1C%7D/uploads/Website_Mazaska_Documents_-_compressed.pdf"
https://app.sparkhq.ai/reports?location=814,Olmsted County,MN,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: The area has approved several major energy projects including the 200MW Byron Solar Project, 150MW Snowshoe Battery Storage, and multiple smaller solar installations. - **Supportive regulations**: Olmsted County has established clear zoning ordinances and regulations for solar energy farms and battery storage facilities, showing institutional support. - **Active development**: Rochester Public Utilities is actively working towards 100% renewable energy by 2030, with multiple solar projects already operational or in development.","Midwater BESS, LLC (12/2/2024): Development of a 150 megawatt battery energy storage system in Freeborn County, including a 2,668-foot high voltage transmission line. Construction to start in early 2027 with commercial operation by year-end.; Link: https://apps.commerce.state.mn.us/eera/project-search.xhtml?tags=TRANSMISSION%26ELECTRICPOWERTRANSMISSION; Snowshoe BESS, LLC (11/25/2024): Proposed 150 MW AC battery energy storage system with 600 MWh energy capacity, including public information meetings and comment period for community input on environmental impacts.; Link: https://puc.eip.mn.gov/sites/default/files/2025-05/PI-ScopingMtgNotice_11-26-24.pdf; EDF Renewables (8/31/2024): Byron Solar Project covering 1,801 acres to generate 200 megawatts, enough to power 30,000 homes. Construction scheduled for 2025-2027, providing economic benefits to local farmers.; Link: https://www.postbulletin.com/news/local/when-will-that-big-solar-project-near-byron-and-kasson-happen"
https://app.sparkhq.ai/reports?location=817,Douglas County,MN,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: Douglas County has approved several solar projects including the Fern-Roth solar farm and Osakis solar farm, showing consistent support for energy development. - **Supportive regulations**: The county has established policies and ordinances that explicitly support solar energy development as both principal and accessory uses. - **No significant opposition**: There is no record of public opposition to solar projects, and the community has shown acceptance of renewable energy developments.",
https://app.sparkhq.ai/reports?location=854,Anoka County,MN,,,Mentions moratoria,GOOD,"- Multiple cities (Blaine, St. Francis, Ramsey) have actively approved and amended zoning codes to allow solar farms and energy storage facilities. - Strong evidence of successful large-scale projects like Connexus Energy's solar-plus-storage facilities being implemented with community support. - Significant investment in renewable energy infrastructure, including educational initiatives and pollinator-friendly solar installations, showing broad institutional support.",
https://app.sparkhq.ai/reports?location=1195,Carver County,MN,,,No mentions of moratoria,MIXED,"- **Mixed approval history**: While some solar projects have been approved, others face significant opposition and denial, particularly regarding concerns about stray voltage and property values. - **Supportive regulations**: Multiple jurisdictions have adopted solar ordinances and zoning updates to accommodate solar energy systems, showing institutional support. - **Community division**: Strong opposition exists from residents concerned about property values and agricultural impacts, while others support renewable energy initiatives, creating a complex approval environment.",
https://app.sparkhq.ai/reports?location=1206,Blue Earth County,MN,,,Mentions moratoria,MIXED,"- **Active Development with Regulation**: Blue Earth County has approved multiple solar projects and has comprehensive solar ordinances, but also implements strict setbacks and regulations for new developments - **Community Division**: While the county government generally supports renewable energy, there is significant community opposition and concerns about visual impacts and proximity to homes - **Recent Restrictions**: Lime Township implemented a moratorium on new solar gardens in 2021, and there are ongoing discussions about tightening regulations on solar developments",
https://app.sparkhq.ai/reports?location=1217,Chisago County,MN,,,No mentions of moratoria,MIXED,"- **Active development**: County has approved multiple solar projects including North Star Solar (largest in Midwest) and shows ongoing interest in renewable energy development. - **Recent regulatory changes**: Several towns like Harris are implementing new solar ordinances and moratoriums while developing comprehensive regulations. - **Community opposition**: Significant resident concerns about property values, flooding, and aesthetic impacts from existing solar installations, leading to increased scrutiny of new projects.",
https://app.sparkhq.ai/reports?location=1218,Crow Wing County,MN,,,No mentions of moratoria,GOOD,"- **Strong institutional support**: Multiple large-scale solar projects have been approved, including a $25M solar farm at Camp Ripley and Brainerd Public Utilities' solar array. - **Comprehensive regulations**: Both Crow Wing County and local municipalities have established clear zoning ordinances that explicitly permit solar and wind energy systems. - **Recent positive developments**: Cities like Baxter are actively updating their solar regulations to be more accommodating, and multiple jurisdictions allow solar installations across all zoning districts.",
https://app.sparkhq.ai/reports?location=1226,Rice County,MN,,,Mentions moratoria,GOOD,"- **Active Approval**: Rice County and local municipalities have consistently approved multiple solar projects, including recent approvals for solar gardens to power over 800 homes. - **Supportive Regulations**: The county has amended zoning ordinances to expand solar allowances and classify solar energy systems as both principal and accessory uses. - **Ongoing Development**: Multiple successful solar projects are operational, including West Faribault Solar and Walcott Solar CSG, with new projects regularly being proposed and approved.",
https://app.sparkhq.ai/reports?location=1231,Fillmore County,MN,,,No mentions of moratoria,GOOD,"- **Approval and support for solar projects**: Fillmore County has shown consistent approval for solar projects, including the Fillmore County Solar Project and others, indicating strong support for renewable energy development. - **Regulatory framework in place**: The county has established zoning ordinances and conditional use permits that facilitate the development of solar energy systems, demonstrating a proactive approach to integrating renewable energy. - **Economic and environmental benefits recognized**: The projects are expected to bring significant economic benefits, including job creation and tax revenue, while also contributing to carbon emission reductions, aligning with community and environmental goals.","National Grid Renewables (1/29/2025): Launch of two major solar projects (Fillmore County Solar - 45MW and Louise Solar - 50MW) in Southern Minnesota, with $30M economic impact and significant environmental benefits; Link: https://smb.crestonvalleyadvance.ca/article/National-Grid-Renewables-Announces-Start-of-Operations-at-Two-Solar-Projects-in-Southern-Minnesota?storyId=679b94ca6e5cce74582972dc; Midwater BESS, LLC (12/2/2024): Development of 150MW battery energy storage system in Freeborn County with 2,668-foot transmission line, planned for completion by end of 2027; Link: https://apps.commerce.state.mn.us/eera/project-search.xhtml?tags=TRANSMISSION%26ELECTRICPOWERTRANSMISSION; Eden Renewables (12/15/2024): Proposal for solar field installation on city-owned land with options for either large solar field or two smaller arrays, pending site study approval; Link: https://d3n9y02raazwpg.cloudfront.net/chatfield/e86dc52e-ab70-11ef-ab4b-005056a89546-a4028e22-799e-483a-97d2-7f4b357b3951-1733954925.pdf"
