Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=54,San Juan County,UT,,,No mentions of moratoria,MIXED,"- **Initial Opposition**: Town of Bluff showed strong opposition in 2019 with a moratorium on industrial developments and resistance to a SITLA solar field lease. - **Recent Progress**: By 2025, Bluff is actively working on solar and battery storage regulations, showing evolution towards acceptance. - **Broader County Support**: San Juan County demonstrates strong support for renewable projects, with successful developments like Red Mesa Tapaha Solar Farm and multiple wind projects, though some faced community opposition.",
https://app.sparkhq.ai/reports?location=1339,Morgan County,UT,,,No mentions of moratoria,GOOD,"- County actively considering Conditional Use Permit for solar panel construction, showing openness to renewable energy projects. - Location selection near East Canyon Dam suggests strategic planning for energy infrastructure. - Meeting structure indicates organized process for reviewing and approving energy projects.",
https://app.sparkhq.ai/reports?location=2419,Garfield County,UT,,,,,,
https://app.sparkhq.ai/reports?location=2421,Emery County,UT,,,No mentions of moratoria,GOOD,"- **Strong project approval history**: Emery County has approved multiple large solar projects including Green River Energy Center, Hornshadow Solar, Hunter Solar, and Castle Solar, demonstrating consistent support for renewable energy development. - **Economic benefits emphasized**: Local officials highlight positive economic impacts including job creation (500+ construction jobs), tax revenue ($55M over 20 years), and educational initiatives ($375K in scholarships). - **Infrastructure investment**: The county has actively worked to facilitate renewable projects through interlocal agreements, tax increment financing, and updated planning processes.","rPlus Energies (9/27/2024): Groundbreaking ceremony for the Green River Energy Center, featuring 400 MW of solar photovoltaic capacity and 400 MW/1,600 MWh of battery storage. The $1.1 billion project will be one of the largest of its kind in the nation.; Link: https://slenterprise.com/index.php/news/7672-salt-lake-citys-rplus-energies-breaks-ground-for-green-river-energy-center-in-emery-county; rPlus Energies (9/23/2024): Launch of the Green River Energy Center, a 400 MW solar project with 1,600 MWh battery storage system. The project includes partnerships with Tesla and Sundt Construction and will create 500 construction jobs.; Link: https://energynews.pro/en/green-river-a-new-400-mw-solar-project-in-utah-with-integrated-storage/; rPlus Energies (8/4/2024): Secured over $1 billion in financing for the Green River Energy Center, which includes 400 MW of solar PV and 400 MW of battery storage, expected to create about 500 construction jobs.; Link: https://www.renewableenergymagazine.com/panorama/rplus-energies-secures-over-1b-in-financing-20240805"
https://app.sparkhq.ai/reports?location=2424,Iron County,UT,,,Mentions moratoria,GOOD,"- Iron County has consistently approved and supported numerous large-scale solar projects over the past decade, including recent approvals for Appaloosa Solar (240MW), Zion Solar (300MW), and multiple battery storage facilities. - The county has established clear zoning regulations and ordinances specifically for solar energy systems, demonstrating institutional support for renewable energy development. - There is strong evidence of ongoing collaboration between developers, utilities, and local government, with multiple successful projects completed and more in development, showing a positive track record for energy project approvals.","NextEra Energy Resources (11/30/2025): The Zion Solar Project will generate 600 MW of clean energy through solar panels and battery storage, creating 350 construction jobs and providing $33 million in tax revenue for Iron County. The project includes a 4-hour battery storage system for round-the-clock renewable energy availability.; Link: https://www.nexteraenergyresources.com/zion-solar/project-overview.html; Clearway Energy Group (3/12/2025): Clearway Energy began construction on a $605 million Honeycomb battery storage portfolio, featuring four 80 MW battery systems with Tesla Megapack batteries. The project will create 50 jobs and contribute $60 million in taxes while supporting grid stability in Utah.; Link: https://pv-magazine-usa.com/2025/03/13/clearway-energy-begins-construction-on-605-million-energy-storage-portfolio-in-utah/; Clearway Energy Group (3/10/2025): Clearway Energy Group launched the $605 million Honeycomb battery portfolio to provide consistent power to PacifiCorp's service area. The project enhances existing solar energy infrastructure and supports Utah's energy security agenda.; Link: https://www.clearwayenergygroup.com/press-releases/clearway-closes-financing-and-begins-construction-on-605-million-grid-enhancing-battery-energy-storage-portfolio-in-utah/"
https://app.sparkhq.ai/reports?location=2425,Box Elder County,UT,,,Mentions moratoria,GOOD,"- **Strong project approval history**: Box Elder County has approved multiple large solar projects including Steel Solar, Rocket Solar, and Autoliv Solar, demonstrating consistent support for renewable energy. - **Supportive regulatory framework**: The county has established wind ordinances and actively works with solar developers through their Redevelopment Agency to facilitate project development. - **Economic benefits emphasized**: Local officials consistently highlight the positive economic impacts of solar projects, including job creation and tax revenue generation of over $1 million for the county.",
https://app.sparkhq.ai/reports?location=2426,Cache County,UT,,,Mentions moratoria,GOOD,"- **Strong Support for Solar**: Multiple approved solar projects including Steel Solar 1B (40MW), Red Mesa Tapaha (5MW), and ongoing discussions for a 100-acre solar farm with battery storage. - **Clear Regulations**: The city has established solar ordinances, net metering policies, and community solar rate schedules to facilitate residential and commercial solar adoption. - **Future Planning**: Active feasibility studies and proposals for expanding solar capacity, including a potential 15MW solar array and battery storage projects, showing commitment to renewable energy growth.","null (3/18/2025): Logan City approved a three-month feasibility study for a 15 mega-watt solar array, with unanimous council support for the renewable energy project aimed at replacing retiring coal-fired power resources.; Link: http://www.cachevalleydaily.com/news/logan-city-to-launch-feasibility-study-of-15-mega-watt-solar-array-within-city-limits/article_11b36fa1-c467-4357-995b-1c9a695773de.html; null (3/9/2025): Local energy advisors recommended a 100-acre solar farm project with battery storage to Logan Municipal Council, projecting 20-30 mega-watts of electricity generation capacity.; Link: https://www.cachevalleydaily.com/news/local-energy-advisors-recommend-logan-consider-solar-array-project/article_e2b6d9a4-fdd0-11ef-987c-eb54a0730d40.html; null (3/4/2025): Logan City Council discussed a proposal for a 100-acre solar and battery storage project aimed at enhancing the city's sustainable energy sources.; Link: https://www.hjnews.com/news/government/100-acre-solar-project-and-other-energy-solutions-discussed-at-logan-city-council/article_67bcc1b2-fa12-11ef-ae4d-f777f2ceb443.html"
https://app.sparkhq.ai/reports?location=2432,Juab County,UT,,,No mentions of moratoria,GOOD,"- **Multiple Approved Projects**: Juab County has approved several major solar projects including Thirsty Valley Solar, Clover Creek Solar, and Dog Valley Solar, demonstrating strong support for renewable energy development. - **Proactive Policy Changes**: The county has amended its Land Use Code to specifically include renewable energy production facilities and has established Community Reinvestment Areas to support solar development. - **Positive Economic Integration**: The county has created multiple interlocal agreements and tax increment financing structures to support solar projects, showing commitment to long-term renewable energy development.",
https://app.sparkhq.ai/reports?location=2434,Beaver County,UT,,,Mentions moratoria,GOOD,"- **Strong approval history**: Beaver County has consistently approved multiple solar projects, including the Milford Solar Phase II expansion and numerous other utility-scale solar installations. - **Active development**: The county is currently processing several major solar projects, including the 600MW Star Range Solar Project and multiple battery storage facilities. - **Supportive governance**: Local officials have shown consistent support through approval of conditional use permits, participation agreements, and regular collaboration with solar developers.","Clearway Energy Group (3/10/2025): Commenced construction on a $605 million Honeycomb battery storage portfolio in Utah, consisting of four 80-megawatt battery systems with 1,280 MWh total capacity. The project will create 50 jobs and contribute $60 million in local taxes.; Link: https://www.clearwayenergygroup.com/press-releases/clearway-closes-financing-and-begins-construction-on-605-million-grid-enhancing-battery-energy-storage-portfolio-in-utah/; Not specified (1/14/2025): BLM set aside land for two major solar projects in Utah: the 200-megawatt Neptune Solar Project near Delta (1,920 acres) and the 600-megawatt Star Range Solar Project near Milford (5,159 acres).; Link: https://muleapi.blm.gov/notices-rule?region[]=27; Hanwha Energy Corp.'s 174 Power Global (12/1/2024): BLM withdrew 5,160 acres of public land in Utah for environmental review of the Star Range solar project, which aims to generate 600 megawatts of solar electricity.; Link: https://www.hartenergy.com/exclusives/blm-sets-aside-land-solar-project-review-utah-211248"
https://app.sparkhq.ai/reports?location=2437,Tooele County,UT,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: The county has approved several large solar projects including the 80MW Elektron Solar Project, 75MW Horseshoe Solar Project, and multiple other facilities, showing consistent support for renewable energy. - **Supportive regulations**: Tooele County's Land Use Ordinance explicitly allows for solar power generation and the county has approved multiple conditional use permits for solar projects. - **Collaborative development**: Strong partnerships between local governments, utilities, and developers demonstrate institutional support, with projects like Facebook's data center solar facilities receiving broad approval.",
