Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=3272,Aleutians West Census Area,AK,,,No mentions of moratoria,GOOD,- **Active pursuit of renewable energy**: The city council has approved Resolution 2025-07 to seek federal funding for wind turbines and battery storage. - **Financial commitment**: The city is willing to contribute a significant 20% match ($6.3 million) demonstrating strong support for energy development. - **Clear renewable goals**: The community shows explicit interest in reducing diesel dependency and improving environmental conditions through renewable energy projects.,
https://app.sparkhq.ai/reports?location=4249,Anchorage Municipality,AK,,,No mentions of moratoria,GOOD,- **Strong government support** through legislation like SB 152 and significant funding programs including $62M Solar for All initiative. - **Multiple successful projects** including large-scale Tesla battery storage systems and solar installations demonstrating proven track record. - **Active utility engagement** with renewable energy through partnerships and investments in solar farms and battery storage facilities.,"Alaska Electric & Energy Cooperative, Inc. (11/21/2024): The Alaska Energy Authority approved a $28 million BESS purchase to support the Bradley Lake Hydroelectric Project, focusing on oscillation dampening services to improve energy reliability and stability.; Link: https://www.akenergyauthority.org/Portals/0/About/Board%20Meetings/Documents/2024/Resolutions%202024/2024-13%20Purchase%20Alaska%20Electric%20and%20Energy%20Priority%20Rights%20to%20BESS.pdf?ver=53dhCAD2GMLEgJk5Z7OjNQ==; Renewable Independent Power Producers (10/31/2024): A 45 MW solar farm planned in Nikiski aims to triple Alaska's solar power output, providing energy for 9,000 customers on the Kenai Peninsula. The project is expected to be operational by 2027.; Link: https://digital.akbizmag.com/issue/november-2024/inside-alaska-business/; Tesla (10/12/2024): Tesla activated a $65 million Megapack energy storage system in Anchorage, designed to improve grid stability and reduce annual natural gas consumption by 5%.; Link: https://econotimes.com/Tesla-Activates-65-Million-Megapack-Energy-Storage-System-in-Anchorage-Boosting-Grid-Reliability-1690418"
https://app.sparkhq.ai/reports?location=6003,Kenai Peninsula Borough,AK,,,No mentions of moratoria,GOOD,"- **Strong institutional support**: Multiple large-scale solar and battery projects have been approved, including Alaska's largest solar farm (45MW) and a 46.5MW battery storage system. - **Proactive policy**: The borough has approved tax exemptions for independent power producers and established lease agreements to encourage renewable energy development. - **Community backing**: Local utilities and officials consistently demonstrate support for renewable projects, with Homer Electric Association unanimously approving multiple energy contracts.","Renewable Independent Power Producers (2/10/2025): Alaska's largest solar farm (Puppy Dog Lake) approved by Homer Electric Association. The project will feature 60,000 solar panels across 300 acres, capable of powering 9,000 homes and creating 40-60 construction jobs. It will be the first in Alaska to connect directly to the regional transmission system.; Link: https://thebusinessdownload.com/alaskas-biggest-solar-farm-gets-traction/; Renewable Independent Power Producers (10/31/2024): A planned 45 MW solar farm in Nikiski aims to triple Alaska's solar power output. The facility will provide energy for approximately 9,000 customers on the Kenai Peninsula, with completion expected by 2027.; Link: https://digital.akbizmag.com/issue/november-2024/inside-alaska-business/; Renewable IPP (8/20/2024): Homer Electric Association board approved a contract to buy energy from the Puppy Dog Lake Project. The solar farm will produce up to 30 MW, doubling the region's renewable energy from 12% to 24%.; Link: https://www.ktoo.org/2024/08/21/homer-utility-board-approves-buying-energy-from-what-will-be-alaskas-largest-solar-farm/"
https://app.sparkhq.ai/reports?location=7149,Matanuska-Susitna,AK,,,No mentions of moratoria,GOOD,"- **Strong project approval**: The Matanuska-Susitna Borough has actively approved and supported multiple renewable energy projects, including Alaska's largest solar farm (8.5 MW Houston Solar Farm) - **Financial commitment**: Significant investments made in renewable energy, including a $4.9M loan from Alaska Energy Authority and partnership with CleanCapital for solar development - **Future planning**: The borough has launched initiatives like C-PACER program for clean energy financing and is actively working on expanding renewable energy infrastructure with a goal of 50% renewable energy by 2050",
https://app.sparkhq.ai/reports?location=7492,Northwest Arctic Borough,AK,,,No mentions of moratoria,GOOD,"- **Strong project approval history**: Multiple solar and battery storage projects have been approved and implemented across different villages in the Northwest Arctic Borough, including Selawik, Noatak, and Shungnak. - **Significant funding support**: The borough recently received a $55 million federal grant for clean energy projects, demonstrating strong governmental backing for renewable energy initiatives. - **Community and leadership support**: Local leaders and utility companies consistently show support for renewable projects, with no evidence of opposition and multiple successful implementations like the Kotzebue solar project.",
https://app.sparkhq.ai/reports?location=9613,Haines Borough,AK,,,No mentions of moratoria,GOOD,"- **Proactive Support**: The town has implemented programs like Solarize Haines to incentivize solar adoption among residents. - **Regulatory Approval**: The Planning Commission unanimously approved a solar panel project, showing support for renewable energy development. - **Community Engagement**: The town actively engages the public in renewable energy decisions through public hearings and historic review processes.",
https://app.sparkhq.ai/reports?location=11062,Chugach,AK,,,No mentions of moratoria,,,
https://app.sparkhq.ai/reports?location=11079,Lake and Peninsula Borough,AK,,,No mentions of moratoria,,,
https://app.sparkhq.ai/reports?location=11121,Copper River Census Area,AK,,,,,,
https://app.sparkhq.ai/reports?location=11506,Fairbanks North Star Borough,AK,,,No mentions of moratoria,GOOD,"- **Strong institutional support**: Multiple large-scale battery storage projects approved and funded, including a recent $206M federal package for BESS. - **Progressive renewable policies**: Recent legislation (SB 152) actively promotes renewable energy integration and community solar initiatives. - **Community engagement**: Strong local participation in renewable initiatives like Solarize Fairbanks with 250+ households, and recent zoning changes to streamline solar and wind project approvals.",
https://app.sparkhq.ai/reports?location=12024,Yukon-Koyukuk Census Area,AK,,,No mentions of moratoria,MIXED,"- **Regulatory Environment**: The presence of documented bans and moratoriums on solar and wind energy in certain locations indicates resistance, while others remain open to development. - **Infrastructure Requirements**: Specific setback requirements for renewable projects near airports and pipelines show a structured but potentially limiting regulatory framework. - **Future Development Plans**: The 10-Year Renewable Electricity Plan and target of 93% renewable energy by 2030 demonstrates positive intent, but requires significant coordination with First Nations and other stakeholders.",
https://app.sparkhq.ai/reports?location=13975,Nome Census Area,AK,,,No mentions of moratoria,,,
https://app.sparkhq.ai/reports?location=15673,Prince of Wales-Hyder Census Area,AK,,,No mentions of moratoria,,,
https://app.sparkhq.ai/reports?location=15926,Southeast Fairbanks,AK,,,No mentions of moratoria,GOOD,"- Golden Valley Electric Association is actively evaluating a significant renewable energy proposal combining wind, solar, and battery storage. - The project has local entrepreneurial support from someone with previous renewable energy experience. - The utility appears to be taking a constructive approach to addressing past concerns about renewable energy integration.",
https://app.sparkhq.ai/reports?location=16572,Kusilvak Census Area,AK,,,No mentions of moratoria,GOOD,- **Strong Support for Renewables**: The region has developed a comprehensive Climate Action Plan that explicitly promotes solar power and battery storage systems. - **Community Engagement**: There is active collaboration and engagement among local entities to implement sustainable energy solutions. - **Infrastructure Development**: The area is actively working to upgrade energy generation systems and implement new energy storage projects.,
https://app.sparkhq.ai/reports?location=17437,Bethel Census Area,AK,,,No mentions of moratoria,GOOD,- Plan actively promotes development of solar power systems and battery storage facilities to reduce diesel dependence. - Strong focus on upgrading and implementing new energy generation infrastructure. - Demonstrates community engagement and collaboration for sustainable energy solutions.,
https://app.sparkhq.ai/reports?location=19991,North Slope Borough,AK,,,No mentions of moratoria,GOOD,"- **Active renewable energy projects**: Currently implementing a solar PV and battery storage project for a community facility, showing practical support for energy development. - **Supportive regulations**: North Slope Borough has specific ordinances promoting solar access in subdivision design and zoning considerations. - **Community interest**: Despite economic challenges, there's clear interest in pursuing renewable energy solutions to reduce diesel dependency.",
https://app.sparkhq.ai/reports?location=21328,Denali Borough,AK,,,No mentions of moratoria,GOOD,"- **Strong government support**: Multiple large-scale energy projects have received significant federal funding and state backing, including the POLAR project and Eva Creek Wind Farm. - **Successful precedents**: The region has a track record of completed renewable energy projects, including Camp Denali's solar array and the Eva Creek Wind Farm. - **Community initiatives**: Local organizations actively promote renewable energy through programs like the Solarize Denali Campaign and partnerships with energy companies.",
https://app.sparkhq.ai/reports?location=21956,Juneau,AK,,,No mentions of moratoria,GOOD,"- **Strong Policy Support**: Juneau has an established renewable energy strategy targeting 80% renewable energy by 2045 with clear implementation plans. - **Active Development**: The region is significantly expanding solar power capacity, with plans to triple production to support 9,000 homes. - **Legislative Progress**: Recent passage of Senate Bill 152 demonstrates strong state-level support for community solar projects and renewable energy accessibility.",
https://app.sparkhq.ai/reports?location=24223,Kodiak Island Borough,AK,,,No mentions of moratoria,GOOD,"- **Strong renewable commitment**: Kodiak Electric Association has exceeded its 95% renewable energy goal and generates nearly 100% of energy from renewable sources. - **Proactive infrastructure investment**: The community has consistently upgraded and expanded renewable energy infrastructure, including wind farms and battery storage systems. - **Supportive policy changes**: The state is considering removing fees that are barriers to renewable energy growth, showing regulatory support for renewable development.",
https://app.sparkhq.ai/reports?location=25585,Sitka City and Borough,AK,,,No mentions of moratoria,GOOD,"- **Strong Support for Renewables**: Sitka is actively pursuing renewable energy integration through federal partnerships and studies, particularly focusing on wind power development. - **Infrastructure Planning**: The city is working on upgrading grid infrastructure and implementing microgrid technology to accommodate more renewable energy sources. - **Community Engagement**: Local government and community are actively involved in sustainability initiatives and long-term energy planning through programs like ETIPP.",
https://app.sparkhq.ai/reports?location=29954,Dillingham Census Area,AK,,,No mentions of moratoria,,,
https://app.sparkhq.ai/reports?location=31055,Bristol Bay Borough,AK,,,No mentions of moratoria,,,
https://app.sparkhq.ai/reports?location=31060,Yakutat City and Borough,AK,,,No mentions of moratoria,GOOD,"- Borough Assembly is actively pursuing a utility-scale solar plus battery storage system with $11M funding. - Project has strong local support and collaboration between Borough Assembly, Yakutat Tlingit Tribe, and ANTHC. - Clear focus on benefiting residents through reduced utility costs shows positive community alignment with renewable energy goals.",
https://app.sparkhq.ai/reports?location=31063,Hoonah-Angoon Census Area,AK,,,No mentions of moratoria,,,
https://app.sparkhq.ai/reports?location=31077,Petersburg Borough,AK,,,No mentions of moratoria,GOOD,"- The community is actively pursuing a large-scale 45MW solar farm project, showing openness to renewable energy development. - There are no mentions of local opposition or regulatory barriers to the project. - The project is being framed positively with expected benefits like job creation and economic growth.",
https://app.sparkhq.ai/reports?location=31080,Ketchikan Gateway Borough,AK,,,No mentions of moratoria,,,
https://app.sparkhq.ai/reports?location=31112,Skagway Municipality,AK,,,No mentions of moratoria,GOOD,"- Actively pursuing green initiatives and solar energy projects, showing strong municipal support for renewable energy. - Has existing infrastructure and processes for solar panel installations, indicating established pathways for energy development. - Demonstrates positive economic benefits from solar development through job creation and property value increases.",
https://app.sparkhq.ai/reports?location=31119,Aleutians East Borough,AK,,,No mentions of moratoria,GOOD,"- Active solar installation services are being provided by Yup Solar, indicating market demand and infrastructure support. - Integration of battery storage systems shows commitment to comprehensive renewable energy solutions. - Community appears receptive to solar adoption with focus on sustainability and eco-friendly solutions.",
https://app.sparkhq.ai/reports?location=31189,Wrangell City and Borough,AK,,,No mentions of moratoria,GOOD,- Community demonstrates strong commitment to solar energy adoption and sustainable living. - Residents are actively encouraged to adopt solar power with clear benefits communicated. - Infrastructure supports energy storage and grid integration through battery storage systems.,
