Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=466,Panola County,MS,,,No mentions of moratoria,GOOD,"- **Strong regulatory support**: Panola County has adopted a solar ordinance specifically designed to regulate and promote solar energy systems, showing clear commitment to renewable energy development. - **Multiple approved projects**: The county has successfully approved and launched multiple solar projects, including Panola I, II, and III Solar Farms, totaling over 18MW of capacity. - **Broad community support**: Local leadership and community have shown enthusiastic support, even incorporating solar panels into the county logo and actively partnering with developers like Clearloop and Microsoft.",
https://app.sparkhq.ai/reports?location=483,Clay County,MS,,,No mentions of moratoria,GOOD,"- **Strong approval record**: Multiple large-scale solar and storage projects have been approved by local authorities, including the $200M Clay County facility and Golden Triangle projects. - **Significant economic benefits**: Projects are bringing substantial tax revenue and jobs, with estimates of $182M in construction benefits and millions in annual tax revenue for schools and local government. - **Supportive regulatory environment**: The Public Service Commission has approved over $1.4B in renewable energy investments since 2020, showing strong institutional support for energy development.","Origis Energy (12/18/2024): Origis Energy and MUFG announced a $533 million investment for 350 MW of solar energy and 50 MW of storage across two U.S. states, including the Optimist Solar + Storage project in Mississippi (200 MW solar) and Wheatland Solar project in Indiana (150 MW).; Link: https://energynews.pro/en/origis-energy-finances-350-mw-solar-projects-with-mufg-in-the-united-states/; Origis Energy (9/24/2024): Origis Energy and TVA announced the Hope Solar + Storage project in Mississippi with 200 MWac of solar and 200 MW of battery storage capacity, expected to generate $182 million in economic activity and become operational by late 2028.; Link: https://energynews.pro/en/origis-energy-and-tva-strengthen-solar-and-storage-in-mississippi; Origis (3/12/2025): TVA initiated an environmental assessment for the Hope Solar and Storage Project in Mississippi, seeking public comments until April 10, 2025, for the 200 MW solar facility and battery storage system.; Link: https://www.federalregister.gov/documents/2025/03/13/2025-04066/hope-solar-and-storage-project"
https://app.sparkhq.ai/reports?location=491,Lowndes County,MS,,,No mentions of moratoria,GOOD,"- **Strong approval record**: Multiple large-scale solar and storage projects have been approved, including Golden Triangle I & II, with over 700MW of combined capacity and continued expansion plans. - **Significant local support**: County officials have consistently approved tax incentives and permits for solar projects, demonstrating strong institutional backing. - **Economic benefits emphasized**: Local leaders highlight positive economic impacts, with projects bringing hundreds of millions in investment, tax revenue, and job creation.","Origis Energy (9/24/2024): Hope Solar + Storage Project announced in Mississippi with 200 MWac of solar and 200 MW of battery storage capacity, expected to generate $182 million in economic activity. Project to be operational by late 2028.; Link: https://energynews.pro/en/origis-energy-and-tva-strengthen-solar-and-storage-in-mississippi; Origis Energy (10/1/2024): Golden Triangle I project secured tax equity commitment from J.P. Morgan, featuring 200 MW solar and 50 MW battery storage capacity, with projected $182 million in construction and economic benefits.; Link: https://www.primepublishers.com/origis-energy-secures-tax-equity-commitment-with-j-p-morgan-for-golden-triangle-i-solar/article_37189965-adff-5bd4-8346-8ba5e380a39f.html; Arevon (1/16/2025): Eland 1 project in Kern County, California features 384 MW solar capacity and 150 MW / 600 MWh battery storage system, with Luminate serving as Independent Engineer.; Link: https://www.luminatellc.com/category/energy-storage/"
https://app.sparkhq.ai/reports?location=500,Hinds County,MS,,,No mentions of moratoria,MIXED,"- **Recent approval of major solar project**: Hinds County approved the 396MW Soul City Solar project in June 2024, showing willingness to approve large energy projects. - **Strong local opposition**: Significant community resistance and protests against solar development, with residents concerned about environmental impacts and property values. - **Regulatory uncertainty**: Mississippi PSC recently suspended solar incentive programs and has shown resistance to solar advocates, indicating potential challenges for future projects.","Soul City Energy, LLC (12/1/2024): Major solar facility development in Hinds County with $650 million investment, expected to generate $147 million in property tax revenue over 30 years. Project includes environmental protection measures and strong community engagement.; Link: https://ctsportal.psc.ms.gov/portal/PSC/ViewFile?fileId=EkmY/Gvq/iA=; Entergy (9/30/2024): Multiple solar projects planned across several states (MS, LA, TX, AR) with capacities from 20-250 megawatts, including battery storage integration. Projects scheduled for commercial operations between 2024-2028.; Link: https://cdn.entergy.com/userfiles/content/operations_information/Entergy-renewable-portfolio.pdf?_gl=1*1mhzxop*_gcl_au*MjAwNzUwNzc3My4xNzE2Mzk4NDAz*_ga*OTg4Nzc4ODE2LjE3MTYzOTg0MDQ.*_ga_HK6YSZ6LT0*MTcxNjM5ODQwMy4xLjAuMTcxNjM5ODQwNC41OS4wLjA.*_ga_4CB8RDLGDZ*MTcxNjM5ODQwMy4xLjAuMTcxNjM5ODQwNC4wLjAuMA..*_ga_H0JW6TJK3Y*MTcxNjM5ODQwMy4xLjAuMTcxNjM5ODQwMy4wLjAuMA.."
https://app.sparkhq.ai/reports?location=503,DeSoto County,MS,,,No mentions of moratoria,GOOD,"- **Multiple project approvals**: DeSoto County has approved several major solar projects, including the $90M Wildflower Solar facility and its successor Wildflower Solar 2, demonstrating consistent support for renewable energy development. - **Strong economic benefits**: Local officials emphasize the positive economic impact, including $400,000+ in annual tax revenue, hundreds of construction jobs, and permanent positions. - **Supportive regulatory environment**: The county has shown willingness to work with developers, with the Planning Commission adding solar energy systems to zoning ordinances and the Public Service Commission consistently approving projects.","Deriva Energy (3/18/2025): Launched a 100 MW Wildflower Solar plant in DeSoto County, Mississippi, creating 300 local jobs and supplying renewable energy to Toyota Motor North America to support their carbon neutrality goals.; Link: https://energynews.pro/en/deriva-energy-launches-its-100-mw-solar-plant-in-mississippi; Cypress Creek Renewables (2/26/2025): Partnered with Meta to develop a 505-megawatt solar plant in Texas, creating over 300 jobs and generating $80 million in local tax revenue, with operations set to begin in 2027.; Link: https://energynews.pro/en/cypress-creek-renewables-and-meta-sign-agreement-for-a-396-mw-solar-plant-in-texas; CI Renewables (1/22/2025): Constructing a 13 MW solar power plant to meet 20% of Ardagh's facility energy needs in Madera, California, aimed at reducing grid reliance and addressing energy stability issues.; Link: https://energynews.pro/en/ardagh-and-ci-renewables-finalize-a-13-mw-solar-power-plant-in-california"
https://app.sparkhq.ai/reports?location=509,Forrest County,MS,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: The area has approved and successfully implemented several large solar projects, including multiple 50MW+ facilities by different developers (Silicon Ranch, Strata Solar, Origis Energy). - **Strong regulatory support**: The Mississippi Public Service Commission has consistently approved solar projects and expansions, with local planning commissions creating supportive regulations. - **Positive local reception**: Local officials and communities have shown support through tax abatements, special use permits, and emphasis on economic benefits including job creation and school funding.",
https://app.sparkhq.ai/reports?location=558,Jasper County,MS,,,No mentions of moratoria,GOOD,"- **Multiple Active Projects**: Two significant solar projects (Shubuta Creek Solar and IC-1203) are being actively developed in Jasper County, showing strong support for renewable energy. - **Substantial Investment**: The $230 million investment in Shubuta Creek Solar indicates significant economic commitment and local acceptance of renewable projects. - **No Opposition**: There are no mentions of local opposition, moratoriums, or restrictive regulations against solar development in the provided context.",
https://app.sparkhq.ai/reports?location=568,Bolivar County,MS,,,No mentions of moratoria,GOOD,"- **Multiple active interconnection projects**: Three separate solar+battery projects (J3186, J2736, J2751) are in active development, showing strong commitment to renewable energy. - **Significant capacity planned**: Combined potential of 250-400MW of solar and battery projects indicates substantial investment and county acceptance. - **State-level support**: Mississippi Public Service Commission's focus on rural infrastructure and clean energy development suggests favorable regulatory environment.",
https://app.sparkhq.ai/reports?location=570,Benton County,MS,,,,,,
https://app.sparkhq.ai/reports?location=576,Lee County,MS,,,No mentions of moratoria,GOOD,"- **Active Development Support**: Multiple large-scale solar projects are being actively developed and reviewed, including the 200MW Jugfork Solar Project and Airbus Helicopters' 6-acre solar farm. - **Legislative Support**: Mississippi Senate Bill 2557 enables solar development at state universities and provides mechanisms for local government support. - **Positive Local Response**: The county board of supervisors has shown support by approving projects and offering tax abatements, demonstrating a favorable regulatory environment.","Competitive Power Ventures (9/4/2024): The Jugfork Solar Project, a 200 MW solar facility with 20 MW battery storage system, covering 1,000 acres in Lee and Union Counties, Mississippi. TVA opened public comment period for environmental review.; Link: https://tvawcma.com/news-media/releases/tva-seeks-public-input-on-proposed-solar-project-in-northeast-mississippi; Airbus Helicopters (11/4/2024): Airbus is developing a 6-acre solar farm at their Mississippi facility to provide 75% of electrical needs. The $3.5 million project received 10-year tax abatement and will be operational by April 2025.; Link: https://digest.msstate.edu/?issue=2024-11-05; Competitive Power Ventures (9/30/2026): CPV Jugfork Solar Project details released, highlighting 300 construction jobs, long-term revenue benefits, and environmental improvements including enhanced soil quality and pollinator-friendly vegetation.; Link: https://www.cpv.com/our-projects/cpv-jugfork-solar/"
https://app.sparkhq.ai/reports?location=588,Sunflower County,MS,,,No mentions of moratoria,GOOD,"- **Strong regulatory support**: Multiple approvals from Mississippi Public Service Commission for large solar projects, including the 100MW Sunflower Solar Station and 138MW Harvest Gold Solar Project. - **Significant investment and expansion**: Entergy Mississippi plans to add 1,000MW of renewable energy over 5 years, showing long-term commitment to clean energy development. - **Local economic benefits**: Projects create hundreds of construction jobs, generate millions in tax revenue, and receive support from local officials and businesses.","Recurrent Energy, LLC (3/5/2025): The Sunflower Solar Station, Mississippi's largest solar project, generates clean energy for 16,000 homes. Built under a Build Transfer Agreement with Entergy Mississippi taking ownership after completion.; Link: https://greenstocknews.com/news/nasdaq/csiq/canadian-solar-successfully-completes-sunflower-solar-station-under-a-bta-for-entergy-mississippi; Entergy (9/30/2024): Multiple solar projects planned across several states (Mississippi, Louisiana, Texas, Arkansas) with capacities from 20-250 megawatts, including battery storage integration, targeting operations between 2024-2028.; Link: https://cdn.entergy.com/userfiles/content/operations_information/Entergy-renewable-portfolio.pdf; Steel River Solar (8/4/2024): Massive 1,500 MW solar project planned for Mississippi County, AR, currently under development and aimed at contributing to the MISO market.; Link: https://swiftcurrentenergy.com/project/steel-river-solar/"
https://app.sparkhq.ai/reports?location=592,Adams County,MS,,,No mentions of moratoria,GOOD,"- **Established permitting process**: Natchez has a clear permitting system in place for solar installations, indicating institutional support for solar energy. - **Infrastructure support**: The area supports integration of solar with EV chargers, showing forward-thinking energy policies. - **Local service availability**: Presence of active solar installation companies suggests a supportive market for renewable energy development.",
https://app.sparkhq.ai/reports?location=595,Wayne County,MS,,,No mentions of moratoria,MIXED,"- Project withdrawal (J988) indicates potential challenges or barriers for solar development in the county. - The initial proposal of a 100-200MW solar project suggests the county was at least open to considering large-scale solar development. - Insufficient context about local sentiment or regulations, but the withdrawal signals some development friction.",
https://app.sparkhq.ai/reports?location=2489,Madison County,MS,,,No mentions of moratoria,GOOD,"- **Strong regulatory support**: Madison County has consistently approved solar projects and provided tax incentives, showing clear support for energy development. - **Multiple successful projects**: The county has multiple large-scale solar projects completed or in development, demonstrating a track record of project approval. - **No significant opposition**: There is no evidence of local opposition or moratoriums, and projects have received broad support from local officials and economic development authorities.","EDP Renewables (2/24/2025): The Ragsdale Solar Park in Madison County, Mississippi, a 100 MW solar facility, begins operations with Amazon securing full capacity through a long-term power purchase agreement. The project will generate $34.6 million in local taxes and $15 million in landowner lease payments, utilizing advanced bifacial tracking modules.; Link: https://pv-magazine-usa.com/2025/02/25/amazon-secures-full-capacity-of-100-mw-project-in-mississippi/; EDP Renewables North America LLC (2/18/2025): EDPR NA launches the Ragsdale Solar Park in Mississippi, capable of powering over 15,700 homes annually. The project will save 127 million gallons of water yearly compared to conventional energy sources and includes a solar panel recycling program.; Link: https://www.news-journal.com/edp-renewables-north-america-launches-ragsdale-solar-park-in-mississippi-in-collaboration-with-amazon/article_790b1834-7e97-5815-ba8a-a7a5abd3ce64.html; EDP Renewables North America (2/20/2025): EDPR North America's Ragsdale Solar Park inauguration creates over 100 temporary construction jobs and will provide ongoing financial benefits to local communities through $34.6 million in taxes, while promoting sustainability through its solar panel recycling program.; Link: https://energynews.pro/en/edp-renewables-launches-ragsdale-solar-park-in-mississippi-in-partnership-with-amazon/"
https://app.sparkhq.ai/reports?location=2530,Perry County,MS,,,No mentions of moratoria,GOOD,"- **Active Development**: Multiple large-scale solar projects are in development, including the Magnolia Lake Solar and BESS Project (400 MWh + 160 MWh storage). - **Community Support**: New Augusta shows strong commitment to renewable energy with emphasis on residential solar adoption and battery storage systems. - **Economic Benefits**: Projects promise significant local benefits including 300 construction jobs, permanent positions, and millions in property tax revenue.",
https://app.sparkhq.ai/reports?location=2619,Jackson County,MS,,,No mentions of moratoria,GOOD,"- **Supportive legislation**: Mississippi passed a new law enabling public school districts to generate solar energy through power purchase agreements, showing state-level support for renewable energy. - **Policy updates**: The state has updated its solar energy guidelines and net metering rules to increase adoption of renewable energy, particularly among low and moderate-income residents. - **Regulatory engagement**: The Public Service Commission is actively working on developing comprehensive solar policies, including net metering rules, indicating institutional support for renewable energy development.",
https://app.sparkhq.ai/reports?location=2769,Webster County,MS,,,,,,
https://app.sparkhq.ai/reports?location=3122,Warren County,MS,,,No mentions of moratoria,GOOD,- **Strong regional support**: Multiple states in the region are actively pursuing large-scale solar and renewable energy projects. - **Economic benefits**: Projects like Entergy Arkansas's solar installation demonstrate significant cost savings for customers. - **Policy backing**: Louisiana's Climate Action Plan and Georgia Power's ambitious solar expansion plans show strong institutional support for renewable energy development.,
https://app.sparkhq.ai/reports?location=3198,Leake County,MS,,,No mentions of moratoria,GOOD,"- **Active Project Development**: Mississippi Power Co. is actively pursuing solar and battery storage projects in Leake County, showing institutional support. - **Regulatory Support**: The Mississippi Public Service Commission demonstrates strong support for renewable energy through project approvals and positive discussions. - **Successful Implementation**: Recent developments like the Walnut Grove facility and Hinds County project show a track record of approved and completed energy projects.",
https://app.sparkhq.ai/reports?location=3373,Jefferson County,MS,,,,,,
https://app.sparkhq.ai/reports?location=3386,Itawamba County,MS,,,No mentions of moratoria,GOOD,"- **Largest solar farm presence**: Tremont hosts the largest solar farm in Mississippi, demonstrating significant acceptance of utility-scale solar. - **Established permitting process**: The town has a clear permitting system in place for solar installations. - **Support for advanced energy tech**: The community encourages battery storage integration, showing openness to comprehensive renewable energy solutions.",
https://app.sparkhq.ai/reports?location=4399,Scott County,MS,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: Scott County has approved several major solar projects, including the Pearl River Solar Park (210MW) and other significant facilities, showing strong support for renewable energy development. - **Positive regulatory environment**: The Mississippi Public Service Commission has consistently approved and supported solar development, with no evidence of moratoriums or significant opposition. - **Strong community benefits**: Projects have demonstrated substantial economic benefits including job creation, tax revenue, and landowner payments, with no documented local opposition.",
https://app.sparkhq.ai/reports?location=4869,Lamar County,MS,,,No mentions of moratoria,MIXED,"- **Multiple successful projects**: Lamar County has several operational solar farms including a 52MW facility by Origis Energy and multiple approved projects, showing historical acceptance. - **Current opposition**: Strong local resistance to the new Minkar Solar project (90MW) with residents organizing town halls and voicing concerns about property values and environmental impacts. - **Regulatory support**: County has approved multiple solar projects and continues processing new applications, but requires careful review and community input through conditional use permits.",
https://app.sparkhq.ai/reports?location=4872,Lauderdale County,MS,,,No mentions of moratoria,GOOD,"- **Multiple Approved Projects**: The county has approved and successfully implemented several large solar projects, including a 75MW Silicon Ranch facility and a 6MW naval facility. - **Strong Institutional Support**: Local authorities, Mississippi Power, and the Public Service Commission have consistently supported and approved renewable energy projects. - **Economic Benefits**: The projects have brought significant investment ($100M+), temporary jobs, and revenue for local schools through land leases, with minimal opposition from locals.",
https://app.sparkhq.ai/reports?location=5855,Grenada County,MS,,,No mentions of moratoria,GOOD,"- **Strong Government Support**: Grenada demonstrates clear commitment to renewable energy with a goal of 100% renewable energy by 2030 and active solicitation of solar projects. - **Multiple Active Projects**: Currently seeking bids for significant energy projects including a 15.1MW airport solar installation and 5MW of small-scale renewable developments. - **Regulatory Framework**: The Public Utilities Regulatory Commission (PURC) has established clear guidelines and processes for renewable energy development, including RFPs and power purchase agreements.","null (1/23/2025): Cost analysis for solar installations in Grenada, with average costs of $18,594 for an 8.5 kW system and projected savings of $23,655 over 25 years; Link: https://www.ecowatch.com/solar/panel-cost/ms/grenada; null (12/26/2024): Request for Qualifications launched for 15.1 MWp solar project at Maurice Bishop International Airport, including a 25-year power purchase agreement to support Grenada's 2030 renewable energy goals; Link: https://www.pv-magazine.com/2024/12/27/grenada-seeking-bidders-for-15-1-mwp-airport-solar-project/; null (9/3/2024): Grenada seeking bids for 15.1 MW solar project with potential 10.6 MW/21.2 MWh battery storage system, including 25-year maintenance commitment; Link: https://www.pv-magazine.com/2024/09/04/grenada-seeking-bids-for-15-1-mw-of-airport-solar/"
https://app.sparkhq.ai/reports?location=5873,Yazoo County,MS,,,No mentions of moratoria,,,
