Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=494,Mississippi County,AR,,,No mentions of moratoria,MIXED,"- **Strong development activity**: Multiple large solar projects approved/under construction including Driver Solar (250MW), Crooked Lake Solar (175MW), and other significant developments. - **Recent moratorium**: County has implemented a 180-day moratorium on new solar field construction in 2024, showing growing concerns about solar expansion. - **Local opposition emerging**: Officials express concerns about loss of agricultural land, property values, and limited long-term job creation from solar projects.","Green & Clean Power LLC (12/16/2024): A $300 million solar energy and battery storage facility in Osceola, featuring a 105MW solar installation and 160MWh battery storage system. The project will power Hybar LLC's scrap metal recycling rebar mill and represents the first installation in steelmaking to use on-site solar power.; Link: https://armoneyandpolitics.com/300m-solar-battery-project; Entergy (9/30/2024): Multiple solar projects planned across Mississippi, Louisiana, Texas, and Arkansas, with capacities ranging from 20 to 250 megawatts. Projects include battery storage components and are scheduled for commercial operations between 2024 and 2028.; Link: https://cdn.entergy.com/userfiles/content/operations_information/Entergy-renewable-portfolio.pdf; Swift Current Energy (8/4/2024): The Steel River Solar project in Mississippi County, AR with a planned capacity of 1,500 MW, aimed at contributing to the MISO market. This represents one of the largest solar developments in the region.; Link: https://swiftcurrentenergy.com/project/steel-river-solar/"
https://app.sparkhq.ai/reports?location=1289,Woodruff County,AR,,,No mentions of moratoria,GOOD,"- **Strong investment commitment**: Multiple large-scale solar projects are being developed, including the 122MW Woodruff County Solar facility and plans for over 1GW of new energy capacity. - **Supportive regulatory environment**: The city simplifies solar permitting processes and offers incentives including tax credits for renewable energy adoption. - **Positive community reception**: No significant opposition reported, with evidence of community engagement and support for renewable projects, particularly around job creation and economic benefits.",
https://app.sparkhq.ai/reports?location=1411,Miller County,AR,,,No mentions of moratoria,GOOD,"- Miller County has recently completed and celebrated a major solar installation, demonstrating active support for renewable energy projects. - The county is actively investing in energy efficiency and sustainability initiatives, showing a progressive stance on energy development. - The presence of both traditional (Turk Plant) and renewable energy projects suggests the region is open to diverse energy development opportunities.",
https://app.sparkhq.ai/reports?location=1452,White County,AR,,,Mentions moratoria,GOOD,"- **Strong regulatory support**: Multiple large-scale solar projects have been consistently approved by state and local authorities, with supportive zoning regulations. - **Successful track record**: Several major solar projects have been completed successfully, including Searcy Solar and Conway Solar, demonstrating proven execution. - **No opposition**: No evidence of local protests or significant opposition to energy development, with consistent support from local officials and utilities.","NextEra Energy Resources (10/20/2024): Searcy Solar PV Park - 100 MW solar photovoltaic project spanning 800 acres, capable of powering 45,000 households. The project began operations in January 2022 and is owned by Entergy Arkansas.; Link: https://www.power-technology.com/data-insights/power-plant-profile-searcy-solar-pv-park-us/; Entergy (9/30/2024): Multiple solar projects planned across several states (Mississippi, Louisiana, Texas, and Arkansas) with capacities ranging from 20-250 megawatts, including battery storage solutions. Projects targeted for completion between 2024-2028.; Link: https://cdn.entergy.com/userfiles/content/operations_information/Entergy-renewable-portfolio.pdf; Bernhard (8/12/2024): Solar power generation project for Unity Health featuring an earth-mount solar array designed to help reduce energy costs for rural hospitals, with significant projected savings over time.; Link: https://armoneyandpolitics.com/solar-project-will-help-rural-hospitals"
https://app.sparkhq.ai/reports?location=2301,Crawford County,AR,,,Mentions moratoria,BAD,"- **Active moratorium**: Crawford County has implemented a five-year ban on wind farms as of July 2023, showing strong opposition to wind energy development. - **Unanimous opposition**: The Quorum Court's unanimous support for the wind moratorium indicates widespread institutional resistance to renewable energy projects. - **Regional trend**: The county's actions align with similar moratoriums in other Arkansas counties, suggesting a broader regional resistance to wind energy development.",
https://app.sparkhq.ai/reports?location=2302,Boone County,AR,,,No mentions of moratoria,BAD,"- The Planning Commission denied a solar array project due to conflicts with zoning code, indicating restrictive regulations for energy development. - The city's zoning code appears to have limitations that prevent solar array installations, suggesting structural barriers to energy projects. - While residential solar is promoted, there are clear obstacles for larger commercial energy development projects based on the denied appeal.",
https://app.sparkhq.ai/reports?location=2490,Madison County,AR,,,Mentions moratoria,BAD,"- **Active moratorium**: Madison County has implemented a one-year moratorium on wind turbine development, showing direct opposition to energy projects. - **Multiple concerns**: Planning board has expressed significant concerns about converting farmland for solar facilities, indicating resistance to solar development. - **Community opposition**: Local stakeholders and officials have voiced apprehension about both wind and solar energy impacts on agricultural land and community resources.",
https://app.sparkhq.ai/reports?location=2528,Perry County,AR,,,No mentions of moratoria,,,
https://app.sparkhq.ai/reports?location=3013,Pike County,AR,,,No mentions of moratoria,GOOD,- The presence of a formal permitting process for solar-powered equipment indicates regulatory framework supporting renewable energy. - The transparent review process and public hearing option suggests an established system for handling energy projects. - The fact that a company is actively pursuing solar equipment installation signals business interest and acceptance of renewable energy in the area.,
https://app.sparkhq.ai/reports?location=3173,Chicot County,AR,,,No mentions of moratoria,GOOD,"- **Strong track record**: Chicot County has already approved and successfully implemented multiple large-scale solar projects, including the 100MW Chicot Solar Energy Center and Panther Forest Solar project. - **Regulatory support**: The Arkansas Public Service Commission has shown consistent support for renewable energy projects, approving power purchase agreements and cost recovery mechanisms. - **Local economic benefits**: Projects have generated significant local revenue (~$7M for Chicot Solar) and jobs (150+ construction jobs), creating positive community impact.","Entergy (9/30/2024): Multiple solar projects planned across several states (Mississippi, Louisiana, Texas, and Arkansas) with capacities ranging from 20-250 megawatts. Projects include battery storage integration, particularly the Searcy Solar project. Commercial operations targeted between 2024-2028.; Link: https://cdn.entergy.com/userfiles/content/operations_information/Entergy-renewable-portfolio.pdf; Chicot Solar (10/20/2024): 100MW solar photovoltaic project in Arkansas powering 18,000 households. Features 350,000 solar modules across 825 acres with a 20-year power purchase agreement with Entergy Arkansas.; Link: https://www.power-technology.com/data-insights/power-plant-profile-chicot-solar-pv-park-us/; NextEra Energy Resources (10/20/2024): Development and ownership of the Chicot Solar PV Park, demonstrating significant investment in Arkansas renewable energy infrastructure through partnership with Chicot Solar.; Link: https://www.power-technology.com/data-insights/power-plant-profile-chicot-solar-pv-park-us"
